deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,108,52,0.48148148148148145,233871720
630102301,126,63,0.5,279453951
630102302,95,49,0.5157894736842106,218342754
630102303,112,57,0.5089285714285714,259884762
630102304,101,51,0.504950495049505,230167250
630102305,102,47,0.46078431372549017,205849301
630102306,108,56,0.5185185185185185,249330498
630102307,108,55,0.5092592592592593,244699365
630102308,120,72,0.6,320409035
630102309,99,53,0.5353535353535354,236896712
630102310,89,43,0.48314606741573035,185821772
630102311,120,57,0.475,260950402
630102312,114,62,0.543859649122807,273027380
630102313,113,49,0.4336283185840708,216344112
630102314,127,58,0.4566929133858268,258846945
630102315,110,51,0.4636363636363636,230029601
630102316,120,61,0.5083333333333333,269993470
630102317,120,63,0.525,282068764
630102318,103,45,0.4368932038834951,203709663
630102319,109,52,0.47706422018348627,229868742
630102320,135,69,0.5111111111111111,315741023
630102321,93,47,0.5053763440860215,200778805
630102322,103,51,0.49514563106796117,226640291
630102323,136,61,0.4485294117647059,278188400
630102324,110,57,0.5181818181818182,260006565
630102325,128,64,0.5,293662956
630102326,129,58,0.4496124031007752,262915823
630102327,95,48,0.5052631578947369,216202914
630102328,119,57,0.4789915966386555,260130208
630102329,109,50,0.45871559633027525,229525419
630102330,111,47,0.42342342342342343,210448662
630102331,100,42,0.42,187456280
630102332,101,52,0.5148514851485149,234638686
630102333,110,52,0.4727272727272727,237812124
630102334,109,56,0.5137614678899083,245714714
630102335,119,61,0.5126050420168067,274172737
630102336,128,53,0.4140625,247061834
630102337,129,64,0.49612403100775193,281366696
630102338,103,37,0.3592233009708738,164209093
630102339,115,56,0.48695652173913045,251070776
630102340,109,51,0.46788990825688076,225866253
630102341,98,47,0.47959183673469385,210276900
630102342,109,56,0.5137614678899083,247542571
630102401,110,49,0.44545454545454544,224592058
630102402,115,51,0.4434782608695652,239200559
630102403,114,61,0.5350877192982456,274804154
630102404,120,58,0.48333333333333334,263178615
630102405,119,51,0.42857142857142855,234598498
630102406,109,55,0.5045871559633027,247131095
630102407,103,44,0.42718446601941745,205900746
630102501,99,48,0.48484848484848486,218104158
630102502,103,46,0.44660194174757284,204521187
630102503,104,52,0.5,234557050
630102504,132,61,0.4621212121212121,274926038
630102505,116,67,0.5775862068965517,294488687
630102506,118,61,0.5169491525423728,272296714
630102507,110,55,0.5,246070028
630102508,116,54,0.46551724137931033,239861754
630102509,133,64,0.48120300751879697,286786179
630102510,104,58,0.5576923076923077,250928708
630102511,92,45,0.4891304347826087,197257969
630102512,107,48,0.4485981308411215,216684220
630102513,117,54,0.46153846153846156,241446208
630102601,120,51,0.425,226359146
630102701,104,49,0.47115384615384615,219257200
630102702,109,54,0.4954128440366973,241034106
630102703,90,31,0.34444444444444444,141927807
630102704,125,63,0.504,288797075
630102705,111,55,0.4954954954954955,245853309
630102706,114,57,0.5,257505643
630102707,116,50,0.43103448275862066,223763470
630102708,121,52,0.4297520661157025,228986746
630102709,129,55,0.4263565891472868,253715687
630102710,118,75,0.635593220338983,326789185
630102901,116,59,0.5086206896551724,265790693
632523101,97,53,0.5463917525773195,227244005
632523102,96,43,0.4479166666666667,195603010
632523103,105,48,0.45714285714285713,211061926
632523104,85,50,0.5882352941176471,216258143
632523105,105,55,0.5238095238095238,244961661
632523106,113,54,0.4778761061946903,243781557
632523107,120,55,0.4583333333333333,247632355
632523108,93,48,0.5161290322580645,209887355
632523109,112,48,0.42857142857142855,216482688
632523110,114,48,0.42105263157894735,218775773
632523111,109,52,0.47706422018348627,234899998
632523112,84,30,0.35714285714285715,136008193
632523113,120,65,0.5416666666666666,291939070
632523114,97,48,0.4948453608247423,209974270
632523115,109,60,0.5504587155963303,271630298
632523116,117,59,0.5042735042735043,260185774
632523117,99,50,0.5050505050505051,228110992
632523118,85,42,0.49411764705882355,187493173
632523119,99,44,0.4444444444444444,204649200
632523120,120,61,0.5083333333333333,272007463
632523121,102,48,0.47058823529411764,211334604
632523122,100,44,0.44,200004687
632523123,82,36,0.43902439024390244,160108061
632523124,91,42,0.46153846153846156,185717787
632523125,123,65,0.5284552845528455,289743339
632523126,105,53,0.5047619047619047,231204195
632523127,110,52,0.4727272727272727,232869132
632523128,102,41,0.4019607843137255,183921573
632523129,92,47,0.5108695652173914,210758215
632523130,101,45,0.44554455445544555,201626843
632523131,99,42,0.42424242424242425,185448469
632523132,104,49,0.47115384615384615,217827463
632523133,101,50,0.49504950495049505,229326028
632523134,100,46,0.46,207054756
632523135,88,40,0.45454545454545453,182985179
632523136,103,50,0.4854368932038835,216392756
632523137,106,46,0.4339622641509434,202817767
