,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,18,16,8,9,2,0,2,2,5,
630102301,0,7,10,6,8,0,1,2,3,11,
630102302,1,12,5,11,6,2,3,4,5,8,
630102303,5,6,15,5,9,0,1,2,3,13,
630102304,0,5,12,9,5,0,0,5,4,4,
630102305,1,16,6,9,5,2,2,2,1,9,
630102306,1,12,12,8,12,0,0,2,5,5,
630102307,0,12,9,6,8,0,0,2,4,3,
630102308,0,11,16,5,4,1,0,0,4,6,
630102309,0,11,14,13,9,1,0,2,4,8,
630102310,0,15,7,14,6,1,3,0,4,10,
630102311,2,6,11,10,4,1,1,3,3,3,
630102312,1,11,8,4,9,1,4,1,3,11,
630102313,1,11,15,10,8,4,2,0,1,8,
630102314,3,7,6,8,10,1,1,1,2,4,
630102315,0,5,11,13,7,0,2,0,4,9,
630102316,0,4,10,11,8,2,0,3,2,9,
630102317,3,5,13,7,4,1,2,3,1,6,
630102318,1,9,14,12,5,1,1,2,1,11,
630102319,1,8,6,8,8,1,1,1,3,5,
630102320,0,11,11,17,5,0,1,1,3,7,
630102321,0,6,6,14,6,1,2,2,6,4,
630102322,0,10,7,9,8,1,2,2,3,8,
630102323,2,6,10,13,1,0,0,0,2,7,
630102324,0,3,12,13,6,1,1,2,2,4,
630102325,0,15,7,9,9,1,0,0,3,5,
630102326,1,14,14,5,9,0,2,1,3,8,
630102327,0,10,18,15,8,1,1,1,1,12,
630102328,0,13,7,12,5,0,0,1,3,9,
630102329,0,10,13,6,1,2,3,1,2,10,
630102330,3,12,9,9,9,0,1,1,5,12,
630102331,1,7,11,5,7,1,0,0,5,3,
630102332,0,11,9,8,5,3,0,1,5,12,
630102333,3,3,18,17,5,1,1,2,1,6,
630102334,0,9,10,6,9,0,1,1,7,2,
630102335,0,8,10,14,15,0,1,1,1,11,
630102336,0,12,13,13,8,4,4,1,2,7,
630102337,1,6,15,6,7,0,4,1,7,9,
630102338,0,4,11,11,3,0,3,2,3,13,
630102339,0,14,10,11,11,0,1,2,3,7,
630102340,1,13,11,8,4,0,1,0,7,9,
630102341,0,11,8,15,4,0,0,2,1,9,
630102342,0,12,13,13,7,1,0,0,2,5,
630102401,2,9,6,9,9,2,2,2,5,4,
630102402,1,14,10,13,2,1,4,2,3,7,
630102403,4,8,13,11,3,0,0,0,2,12,
630102404,1,5,11,11,5,2,2,2,7,5,
630102405,0,7,13,11,4,2,1,1,2,2,
630102406,0,8,13,16,7,0,4,1,5,8,
630102407,0,12,11,11,4,3,0,0,3,9,
630102501,0,14,8,11,4,4,3,2,2,12,
630102502,1,8,8,10,6,1,0,3,1,5,
630102503,0,13,12,4,7,0,2,2,4,5,
630102504,4,8,16,8,3,1,2,1,2,3,
630102505,0,11,13,7,5,1,1,0,5,9,
630102506,0,6,8,7,5,0,0,1,2,7,
630102507,0,7,8,9,11,0,2,1,1,9,
630102508,2,8,6,8,6,1,0,1,0,6,
630102509,1,11,8,14,12,2,1,2,3,5,
630102510,0,8,13,6,9,2,1,1,1,9,
630102511,3,8,6,13,6,1,2,1,4,9,
630102512,1,3,13,19,11,0,1,1,2,11,
630102513,0,4,10,13,3,0,0,2,4,7,
630102601,3,4,13,8,7,0,2,0,10,10,
630102701,2,8,6,6,14,4,0,1,2,10,
630102702,0,13,10,5,6,0,3,0,3,2,
630102703,2,8,11,9,6,0,0,0,4,7,
630102704,2,12,15,9,6,0,4,2,0,10,
