deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,60,43,0.7166666666666667,406872107
630102301,46,35,0.7608695652173914,287302661
630102302,70,47,0.6714285714285714,380102612
630102303,47,30,0.6382978723404256,250747977
630102304,54,39,0.7222222222222222,320935334
630102305,44,32,0.7272727272727273,282480656
630102306,51,39,0.7647058823529411,331566298
630102307,48,39,0.8125,334977357
630102308,55,45,0.8181818181818182,408063089
630102309,50,38,0.76,316164784
630102310,50,36,0.72,328167786
630102311,61,45,0.7377049180327869,404331764
630102312,46,32,0.6956521739130435,284548785
630102313,47,31,0.6595744680851063,275447301
630102314,50,39,0.78,311606174
630102315,59,48,0.8135593220338984,418589061
630102316,66,40,0.6060606060606061,391626568
630102317,50,33,0.66,323150718
630102318,55,41,0.7454545454545455,386585433
630102319,48,30,0.625,298305835
630102320,53,38,0.7169811320754716,331536986
630102321,64,42,0.65625,426128793
630102322,51,40,0.7843137254901961,366586411
630102323,55,37,0.6727272727272727,338513008
630102324,54,41,0.7592592592592593,337206507
630102325,47,33,0.7021276595744681,316261629
630102326,62,44,0.7096774193548387,423695596
630102327,49,35,0.7142857142857143,277167142
630102328,40,31,0.775,258937227
630102329,53,36,0.6792452830188679,341720849
630102330,51,41,0.803921568627451,413079807
630102331,52,33,0.6346153846153846,328745104
630102332,45,35,0.7777777777777778,301816324
630102333,60,43,0.7166666666666667,396917262
630102334,53,37,0.6981132075471698,342927462
630102335,51,42,0.8235294117647058,296271558
630102336,50,37,0.74,335227088
630102337,49,33,0.673469387755102,290691292
630102338,58,40,0.6896551724137931,341375978
630102339,54,39,0.7222222222222222,402822599
630102340,53,41,0.7735849056603774,360651784
630102341,61,47,0.7704918032786885,413762572
630102342,60,41,0.6833333333333333,376304981
630102401,48,31,0.6458333333333334,267160176
630102402,52,39,0.75,330574244
630102403,55,41,0.7454545454545455,387400662
630102404,49,36,0.7346938775510204,352975894
630102405,57,39,0.6842105263157895,357464252
630102406,66,43,0.6515151515151515,390576401
630102407,56,42,0.75,353199729
630102501,54,35,0.6481481481481481,319136272
630102502,42,32,0.7619047619047619,245747486
630102503,53,43,0.8113207547169812,341917554
630102504,56,40,0.7142857142857143,348477875
630102505,53,37,0.6981132075471698,346952759
630102506,64,41,0.640625,405516026
630102507,63,47,0.746031746031746,429817236
630102508,54,30,0.5555555555555556,254355478
630102509,43,37,0.8604651162790697,349515374
630102510,40,30,0.75,223131409
630102511,63,44,0.6984126984126984,421710299
630102512,64,45,0.703125,379008530
630102513,52,39,0.75,324957789
630102601,48,35,0.7291666666666666,314311098
630102701,61,44,0.7213114754098361,374514971
630102702,51,38,0.7450980392156863,327762076
630102703,56,42,0.75,364581402
630102704,47,31,0.6595744680851063,323833860
630102705,44,27,0.6136363636363636,240503652
630102706,54,37,0.6851851851851852,324160686
630102707,53,37,0.6981132075471698,328341927
630102708,50,40,0.8,390795959
630102709,61,47,0.7704918032786885,457924776
630102710,62,42,0.6774193548387096,392635491
630102901,49,40,0.8163265306122449,323401166
632523101,53,37,0.6981132075471698,313202978
632523102,49,36,0.7346938775510204,322646120
632523103,40,28,0.7,269010670
632523104,42,33,0.7857142857142857,260325564
