,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632523214,25,1,5,4,2,
632523215,11,8,6,2,3,
632523216,22,7,6,6,1,1,
632523217,12,8,4,2,2,1,
632523218,16,7,4,4,0,1,
632523219,17,12,3,4,4,
632523220,14,5,4,3,
632523221,13,6,2,6,4,1,
632523222,15,5,3,4,3,
632523223,21,4,8,3,3,
632523224,16,6,5,0,3,1,
632523225,15,8,10,2,4,
632523226,17,5,5,4,4,4,
632523227,10,11,2,6,4,
632523228,11,6,7,2,4,1,
632523229,21,3,3,4,3,
632523230,16,7,6,1,2,1,
632523231,13,7,1,6,
632523232,22,11,1,5,3,1,
632523233,15,3,6,6,2,
632523234,24,6,3,6,2,
632523235,17,4,5,9,3,
632523236,18,9,1,2,1,
632523237,19,4,4,5,5,4,
632523238,8,5,4,5,0,1,
632523239,13,7,3,4,3,1,1,
632523240,11,9,10,9,4,
632523241,18,5,6,2,3,2,
632523242,8,9,11,1,4,
632523243,16,8,0,2,2,4,
632523244,22,11,1,8,3,0,1,
632523245,7,4,8,7,1,
632523246,18,5,7,4,1,
632523247,23,6,5,4,3,
632523248,23,3,6,3,2,
632523249,17,6,3,3,4,1,
632523250,14,10,3,7,4,1,
632523251,17,4,4,5,6,3,
632523252,15,7,8,2,3,
632523253,12,7,7,4,2,1,
632523254,19,5,6,4,9,
632523255,25,9,8,5,3,
632523256,12,4,2,6,2,3,
632523257,13,9,4,4,0,1,
632523258,22,5,4,5,2,3,
632523259,14,5,6,7,1,
632523260,16,9,3,5,0,1,
632523261,22,7,4,4,2,1,
632523262,15,5,4,5,3,1,
632523263,21,5,4,2,6,
632523264,14,3,12,8,4,
632523265,22,4,3,2,5,1,
632523266,10,1,0,3,6,
632523267,21,9,6,5,2,2,
632523268,16,6,1,3,3,4,
632523269,12,7,2,6,5,
632523270,16,7,2,4,11,
632523271,23,6,9,2,
632523272,22,8,5,6,2,1,
632523273,21,4,7,4,3,
632523274,16,9,4,1,6,
632523275,22,9,4,2,4,
632523276,18,4,5,1,7,2,
632523277,13,7,2,3,4,2,
632523278,21,8,5,3,3,
632523279,13,2,6,10,2,2,
632523280,18,8,8,5,
632523281,12,4,7,11,2,1,
632523282,10,10,6,1,4,1,
632523283,21,9,3,2,5,3,
632523284,15,8,5,1,8,4,
632523285,13,10,9,5,4,1,
632523286,15,2,3,4,3,
632523287,25,7,3,4,2,1,
632523288,28,6,0,3,3,
632523289,13,8,0,6,1,0,1,
632523290,14,5,4,7,6,
632523291,25,8,2,7,1,
632523292,23,6,11,3,5,2,
632523293,12,4,12,7,
632523294,14,4,3,6,3,1,
632523295,16,6,6,3,2,1,
632523296,16,6,6,2,4,
632523297,13,9,2,7,2,3,
632523298,19,10,5,3,4,3,
632523299,18,14,3,10,2,
632523300,24,9,3,9,3,
632523301,19,5,5,0,1,3,
632523302,7,14,0,6,4,
632523303,19,5,12,7,3,2,
632523304,12,13,2,6,4,2,
632523305,27,9,4,4,2,1,
632523306,14,5,3,3,6,2,
632523307,23,5,5,3,9,
632523308,27,6,8,4,2,1,
632523309,19,3,3,4,2,
632523310,15,6,1,4,1,
632523311,11,6,6,7,4,3,
632523312,28,5,4,4,5,2,
632523313,20,2,4,0,3,2,
632523314,20,1,4,6,0,3,
632523315,13,7,4,8,2,2,
632523316,13,2,4,4,2,2,
632523317,23,8,8,5,1,
632523318,23,6,11,2,4,2,
632523319,24,10,7,2,1,
632523320,14,9,4,4,2,
632523321,22,5,8,5,2,2,
632523322,15,8,6,3,5,1,
632523323,20,5,6,5,2,
632523324,25,7,2,3,3,2,
632523325,25,9,5,3,4,1,
632523326,22,9,3,9,4,1,
632523327,11,10,9,3,3,3,
632523328,15,7,7,6,1,1,
632523329,21,5,3,6,7,1,
632523330,23,7,2,5,6,1,
632523331,21,8,4,2,3,
632523332,18,5,6,7,2,
632523333,16,2,4,4,6,1,
632523334,19,2,5,6,5,1,
632523335,20,5,2,3,2,1,
632523336,14,8,7,9,3,
632523337,14,6,8,2,5,
632523338,11,5,6,2,3,2,
632523339,17,11,4,6,2,4,
632523340,14,6,1,8,2,
632523501,14,4,2,8,3,3,
632523502,24,2,4,1,1,
632523503,22,8,1,2,8,2,
632523504,12,6,3,3,5,1,1,
632523505,16,6,2,3,2,3,
632523506,19,7,3,6,6,
632523507,16,5,3,4,2,1,
632523508,17,5,4,1,5,1,
632523509,20,11,1,7,12,
632523510,8,8,4,7,5,1,
632523511,13,4,7,4,
632523512,25,2,5,6,4,1,
632523513,19,3,8,2,2,1,
632523514,16,10,3,3,6,2,
632523515,20,6,3,3,10,
632523516,25,6,4,4,2,1,
632523517,17,7,3,8,2,0,1,
632523518,22,5,0,4,5,
632523519,16,8,8,3,6,1,
632523520,20,7,7,7,2,
632523521,14,4,9,0,5,
632523522,21,8,3,7,3,1,
632523523,11,5,1,4,5,
632523524,19,6,5,3,3,
632523525,21,4,6,6,1,2,
632523526,16,7,4,4,4,1,
632523527,12,7,9,7,5,3,
632523528,14,5,6,6,1,2,1,
632523529,24,8,6,4,4,
632523530,20,7,4,2,4,3,
632523531,20,11,2,7,2,
632523532,20,8,7,3,2,
632523533,21,4,2,3,5,
632523534,24,3,3,6,5,
632523535,17,11,3,0,4,
632523536,17,7,6,4,2,
632523537,14,5,10,1,4,1,
632523538,15,8,3,5,3,1,
632523539,17,3,5,4,0,1,
632523540,10,6,2,6,3,1,
632523601,18,5,7,4,0,2,
632523602,19,4,4,3,3,
632523603,16,10,4,0,3,1,
632523604,21,5,3,3,3,0,1,
632523605,22,9,5,3,4,
632523606,14,11,4,7,6,2,
632523607,12,7,3,6,5,
632523608,13,5,6,3,
632523609,18,6,6,2,4,
632523610,21,12,2,6,4,
632523611,20,5,3,8,3,2,
632523612,20,6,1,6,7,2,
632523613,19,7,2,2,2,
632523614,15,12,2,2,3,1,
632523615,17,5,1,2,3,1,1,
632523616,17,2,8,8,5,2,
632523617,9,6,3,2,1,2,
632523618,16,8,4,0,8,
632523619,19,8,10,4,2,
632523620,16,8,2,7,1,
632523901,21,9,2,3,0,1,
632523902,17,2,7,3,9,
632523903,14,7,2,9,3,
632523904,11,6,7,9,2,1,
632523905,16,7,9,3,0,1,
632523906,7,6,1,4,1,1,
632523907,24,5,7,6,2,
632523908,27,8,1,5,3,1,
632523909,19,3,1,4,5,1,
632523910,11,8,7,0,7,
632524201,12,5,20,17,12,1,
632524202,13,6,17,18,17,1,
632524203,18,2,15,7,9,4,
632524204,20,5,9,23,12,2,
632524205,24,8,9,15,6,4,
632524206,14,8,18,14,10,1,
632524207,21,9,13,8,19,7,
632524208,19,7,20,12,8,2,
632524209,17,4,15,14,14,6,
632524210,22,5,23,16,12,4,
632524211,19,6,12,15,7,2,
632524212,10,6,15,12,16,
632524501,21,9,14,9,10,5,
632524502,22,9,12,12,10,2,
632525001,19,6,12,12,16,3,
632525002,14,4,19,10,14,
632525003,23,7,14,11,18,1,
632525004,13,7,9,16,11,6,
632525005,8,6,16,8,12,2,
632525006,19,7,14,13,9,1,
632525007,25,6,26,13,13,2,
632525008,19,8,11,14,12,2,
632525009,18,8,22,14,10,1,
632525010,13,9,13,15,15,4,
632525011,18,7,24,12,24,1,
632525012,19,8,13,11,18,1,
632525013,31,6,18,8,14,3,
632525014,14,7,17,17,9,4,
632525015,7,8,14,14,12,1,
632525016,9,8,18,18,11,4,
632525017,19,8,14,12,14,2,
632525018,12,8,14,15,13,2,
632525019,16,15,11,9,13,1,
632525020,13,4,14,12,13,5,
632525021,19,4,12,14,11,1,
632525022,19,6,18,10,8,2,
632525023,16,8,21,13,13,4,
632525024,20,8,21,23,7,6,
632525025,15,8,12,9,12,1,
632525026,20,7,14,21,12,7,
632525027,13,6,18,17,13,3,
