,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,20,7,6,3,
630102301,15,2,3,2,
630102302,12,10,9,
630102303,10,16,12,4,
630102304,7,10,5,4,
630102305,12,9,3,1,
630102306,13,11,5,4,
630102307,17,5,7,1,
630102308,14,6,12,3,
630102309,9,12,5,
630102310,13,5,10,1,
630102311,13,8,6,1,
630102312,16,9,7,2,
630102313,15,10,2,1,
630102314,10,7,8,1,
630102315,14,9,4,1,
630102316,17,8,10,3,
630102317,11,7,9,1,
630102318,18,11,4,2,
630102319,13,9,11,2,
630102320,12,5,6,4,
630102321,20,7,6,1,
630102322,11,5,16,4,
630102323,14,7,7,4,
630102324,10,14,6,5,
630102325,22,4,5,
630102326,15,13,10,6,
630102327,16,8,9,4,
630102328,19,10,6,5,
630102329,16,7,7,2,
630102330,15,6,4,1,
630102331,14,17,4,2,
630102332,9,11,4,2,
630102333,12,8,4,2,
630102334,24,13,5,5,
630102335,14,12,3,2,
630102336,17,11,6,3,
630102337,12,8,8,3,
630102338,13,9,5,2,
630102339,17,13,11,3,
630102340,20,12,5,1,
630102341,8,18,6,4,
630102342,9,11,5,
630102401,13,6,4,4,
630102402,11,7,6,2,
630102403,11,6,5,1,
630102404,12,8,8,3,
630102405,10,9,6,2,
630102406,17,11,11,3,
630102407,14,13,8,2,
630102501,16,6,3,3,
630102502,14,5,7,
630102503,14,10,11,2,
630102504,13,9,4,
630102505,19,12,9,4,
630102506,11,8,2,6,
630102507,14,10,8,2,
630102508,18,14,9,1,
630102509,11,8,4,
630102510,12,14,9,2,
630102511,11,8,4,4,
630102512,17,14,7,3,
630102513,12,10,10,1,
630102601,12,9,5,3,
630102701,21,6,9,2,
630102702,15,18,4,
630102703,9,6,5,1,
630102704,11,7,2,
630102705,12,12,6,2,
630102706,10,8,6,
630102707,20,4,3,7,
630102708,12,13,7,2,
630102709,10,5,3,3,
630102710,9,4,6,2,
630102901,13,8,9,1,
632523101,10,3,5,3,
632523102,10,9,3,1,
632523103,7,7,9,1,
632523104,14,10,8,2,
632523105,12,8,7,3,
632523106,13,9,3,3,
632523107,11,9,4,2,
632523108,16,3,4,1,
632523109,15,9,8,4,
632523110,16,4,8,3,
632523111,16,10,6,5,
632523112,9,11,6,3,
632523113,10,8,5,
632523114,22,8,3,3,
632523115,14,8,5,2,
632523116,22,4,3,5,
632523117,13,12,7,2,
632523118,9,3,6,3,
632523119,13,9,11,5,
632523120,12,10,6,4,
632523121,16,6,5,6,
632523122,6,13,7,2,
632523123,16,12,3,2,
632523124,16,6,5,
632523125,18,4,6,3,
632523126,24,13,7,5,
632523127,6,5,10,4,
632523128,14,7,4,4,
632523129,9,10,6,
632523130,26,8,7,4,
632523131,6,8,5,5,
632523132,8,9,5,2,
632523133,16,9,5,1,
632523134,11,8,7,2,
632523135,10,7,7,2,
632523136,10,12,8,3,
632523137,10,7,10,2,
632523138,9,10,3,2,
632523139,10,3,6,3,
632523140,14,6,5,2,
632523141,13,8,5,2,
632523142,10,13,4,2,
632523143,8,4,6,3,
