,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,15,29,
630102301,20,30,
630102302,16,27,
630102303,16,22,
630102304,12,33,
630102305,12,21,
630102306,19,26,
630102307,17,24,
630102308,32,26,
630102309,25,29,
630102310,13,25,
630102311,16,27,
630102312,19,31,
630102313,14,19,
630102314,22,27,
630102315,14,19,
630102316,21,33,
630102317,21,31,
630102318,23,35,
630102319,21,22,
630102320,15,27,
630102321,15,27,
630102322,26,20,
630102323,19,31,
630102324,20,23,
630102325,21,17,
630102326,11,24,
630102327,18,30,
630102328,21,39,
630102329,21,18,
630102330,17,24,
630102331,25,28,
630102332,19,26,
630102333,20,32,
630102334,17,29,
630102335,15,36,
630102336,15,30,
630102337,20,18,
630102338,25,28,
630102339,13,24,
630102340,18,16,
630102341,14,39,
630102342,21,23,
630102401,14,31,
630102402,18,28,
630102403,23,27,
630102404,19,22,
630102405,17,23,
630102406,17,31,
630102407,17,33,
630102501,22,26,
630102502,16,32,
630102503,15,27,
630102504,17,34,
630102505,18,33,
630102506,19,20,
630102507,17,35,
630102508,18,25,
630102509,15,36,
630102510,18,31,
630102511,27,30,
630102512,13,19,
630102513,24,27,
630102601,13,31,
630102701,10,24,
630102702,20,33,
630102703,21,19,
630102704,12,40,
630102705,22,25,
630102706,11,28,
630102707,18,29,
630102708,15,27,
630102709,15,29,
630102710,19,33,
630102901,17,25,
632523101,17,24,
632523102,25,17,
632523103,13,21,
632523104,17,28,
632523105,20,19,
632523106,20,35,
632523107,17,38,
632523108,13,20,
632523109,22,34,
632523110,17,30,
632523111,14,31,
632523112,20,28,
632523113,17,26,
632523114,22,28,
632523115,19,30,
632523116,16,30,
632523117,21,33,
632523118,26,16,
632523119,21,26,
632523120,10,22,
632523121,23,26,
632523122,23,30,
632523123,21,22,
632523124,29,23,
632523125,13,33,
632523126,18,29,
632523127,13,23,
632523128,21,15,
632523129,17,24,
632523130,17,38,
632523131,21,21,
632523132,18,25,
632523133,19,28,
632523134,11,20,
632523135,20,20,
632523136,21,18,
632523137,16,24,
632523138,18,23,
632523139,20,18,
632523140,34,14,
632523141,11,33,
632523142,12,21,
632523143,18,33,
632523144,18,30,
632523145,15,21,
632523146,22,33,
632523147,14,28,
632523148,16,25,
632523149,19,17,
632523150,19,26,
632523151,14,22,
632523152,17,23,
632523153,25,27,
632523154,11,25,
632523155,10,28,
632523156,12,26,
632523157,15,23,
632523158,15,31,
632523159,14,18,
632523160,16,20,
632523161,14,21,
632523162,17,20,
632523163,19,18,
632523164,17,24,
632523165,22,17,
632523166,8,13,
632523167,22,29,
632523168,19,20,
632523169,18,28,
632523170,12,33,
632523171,25,22,
632523172,19,22,
632523173,19,27,
632523174,15,20,
632523175,10,28,
632523176,23,28,
632523177,24,24,
632523178,12,25,
632523179,28,18,
632523180,14,32,
632523181,12,35,
632523182,15,31,
632523183,14,19,
632523184,11,28,
632523185,15,28,
632523186,19,19,
632523187,31,16,
632523188,23,37,
632523189,12,20,
632523190,17,22,
632523191,13,32,
632523192,14,26,
632523193,13,33,
632523194,17,26,
632523195,19,24,
632523196,18,30,
632523197,24,25,
632523198,22,33,
632523199,28,16,
632523200,22,20,
632523201,11,21,
632523202,16,21,
632523203,14,23,
632523204,17,26,
632523205,16,26,
632523206,11,14,
632523207,21,22,
632523208,24,18,
632523209,16,21,
632523210,14,24,
632523211,24,26,
632523212,16,29,
632523213,10,24,
632523214,10,22,
632523215,11,29,
632523216,17,22,
632523217,13,25,
632523218,19,31,
632523219,17,33,
632523220,27,18,
632523221,10,26,
632523222,16,24,
632523223,12,28,
632523224,15,24,
632523225,18,25,
632523226,27,27,
632523227,19,26,
632523228,12,18,
632523229,15,21,
