,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632812305,0,1,
632812306,
632812307,0,1,
632812308,0,1,
632812309,
632812310,0,1,
632812311,
632812312,
632812313,
632812314,
632812315,
632812316,1,
632812317,
632812318,1,
632812319,
632812320,
632812321,
632812322,
632812323,1,
632812324,
632812325,
632812326,
632812327,
632812328,
632812329,
632812330,
632812331,
632812332,
632812333,2,
632812334,
632812335,0,2,
632812336,
632812337,0,2,
632812338,
632812339,0,1,
632812340,
632812341,0,1,
632812342,
632812343,
632812344,
632812345,
632812346,
632812347,
632812348,0,1,
632812349,
632812350,
632812351,1,1,
632812352,
632812353,
632812354,
632812355,
632812356,1,
632812357,
632812358,0,1,
632812359,0,1,
632812360,
632812361,
632812362,0,1,
632812363,
632812364,
632812365,
632812366,
632812367,
632812368,
632812369,0,1,
632812370,
632812371,
632812372,
632812373,
632812374,0,1,
632812375,
632812376,
632812377,1,
632812378,
632812379,0,1,
632812380,
632812381,
632812382,
632812383,1,
632812384,
632812385,
632812386,0,1,
632812387,
632812388,
632812389,
632812390,
632812391,0,1,
632812392,
632812393,
632812394,
632812395,
632812396,
632812397,0,0,1,
632812398,0,1,1,
632812399,
632812400,0,1,1,
632812401,
632812402,
632812403,0,1,
632812404,
632812405,0,1,
632812406,
632812407,
632812408,
632812409,
632812410,0,1,
632812411,0,1,
632812412,1,
632812413,
632812414,
632812415,
632812416,
632812417,2,0,1,
632812418,0,0,1,
632812419,
632812420,
632812421,0,1,
632812422,
632812423,0,2,
632812424,0,1,
632812425,
632812426,
632812427,
632812428,
632812429,
632812430,
632812431,0,2,
632812432,1,1,
632812433,
632812434,0,1,
632812435,
632812436,
632812437,
632812438,0,1,
632812439,0,2,
632812440,
632812441,
632812442,
632812443,
632812444,
632812445,
632812446,1,
632812447,
632812448,
632812449,
632812450,1,
632812451,
632812452,
632812453,
632812454,
632812455,0,1,
632812456,0,2,
632812457,0,1,
632812458,
632812459,
632812460,1,
632812461,
632812462,
632812463,
632812464,
632812465,
632812466,
632812467,0,0,1,
632812468,
632812469,
632812470,
632812471,
632812472,
632812473,0,1,
632812474,
632812475,
632812476,
632812477,
632812478,1,
632812479,
632812480,
632812481,
632812482,
632812483,
632812484,
632812485,
632812486,
632812487,0,1,
632812488,0,0,1,
632812489,
632812490,
632812491,
632812492,0,1,
632812493,
632812494,0,0,1,
632812495,1,
632812496,1,
632812497,0,0,2,
632812498,
632812499,
632812500,
632812501,
632812502,
632812503,
632812504,
632812505,
632812506,
632812507,
632812508,
632812509,
632812510,0,1,
632812511,
632812512,
632812513,
632812514,
632812515,0,2,
632812516,
632812517,
632812518,0,0,1,
632812519,
632812520,
632812521,
632812522,0,0,1,
632812523,
632812524,0,1,
632812525,
632812526,
632812527,
632812528,
632812529,
632812530,1,0,1,
632812531,
632812532,
632812533,
632812534,0,0,1,
632812535,
632812536,
632812537,
632812538,
632812539,
632812540,0,0,1,
632812541,0,1,
632812542,0,1,
632812543,
632812544,
632812545,0,1,
632812546,
632812547,
632812548,0,1,
632812549,
632812550,
632812551,
632812552,
632812553,
632812554,0,1,
632812555,
632812556,
632812557,
632812558,
632812559,
632812560,
632812561,
632812562,0,0,1,
632812563,
632812564,
632812565,
632812566,
632812567,
632812568,
632812569,
632812570,
632812571,
632812572,0,1,
632812573,0,1,
632812574,
632812575,
632812576,0,2,
632812577,
632812578,
632812579,
632812580,
632812581,
632812582,
632812583,0,0,1,
632812584,
632812585,
632812586,0,1,
632812587,
632812588,0,1,
632812589,
632812590,
632812591,0,2,
632812592,
632812593,
632812594,0,1,
632812595,0,1,
632812596,0,1,
632812597,
632812598,
632812599,
632812600,0,0,1,
632812601,
632812602,
632812603,
632812604,
632812605,
632812606,1,
632812607,
632812608,
632812609,0,1,
632812610,
632812611,1,
632812612,
632812613,
632812614,
632812615,1,
632812616,
632812617,
632812618,1,
632812619,
632812620,0,1,
632812621,
632812622,
632812623,
632812624,
632812625,0,1,
632812626,
632812627,0,1,
632812628,0,1,
632812629,
632812630,
632812631,
632812632,
632812633,1,
632812634,
632812635,
632812636,
632812637,
632812801,
632812802,0,1,
632812803,
632812804,0,1,
632812805,
632812806,
632812807,
632812808,
632812809,
632812810,
632812811,0,1,
632812812,
632812813,
632812901,
632812902,0,1,
632812904,
632812905,
632812906,1,
632812907,
632812908,
632812909,
632812910,
632812911,
632812912,
632812913,
632813101,
632813102,0,0,1,
632813103,
632813104,
632813105,
632813106,
632813201,
632813202,
632813203,
632813204,
632813205,
632813206,
632813207,0,1,
632813208,
632813209,
632813210,
632813211,1,
632813212,0,1,
632813213,
632813214,
632813215,1,
632813216,1,0,1,
632813217,
632813218,
632813219,0,1,
632813220,
632813221,
632813222,0,1,
632813223,0,1,
632813224,0,1,
632813225,0,1,
