,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,6,0,0,0,0,0,0,0,0,0,0,2,2,7,11,6,1,
630102301,5,0,0,0,0,0,0,0,0,0,0,2,6,12,11,6,
630102302,8,0,0,0,0,0,0,0,0,0,0,0,3,7,12,3,1,
630102303,5,0,0,0,0,0,0,0,0,0,0,0,0,12,9,6,2,
630102304,6,0,0,0,0,0,0,0,0,0,0,0,4,11,5,6,
630102305,6,0,0,0,0,0,0,0,0,0,0,0,4,7,10,12,
630102306,9,0,0,0,0,0,0,0,0,0,0,0,3,9,10,7,1,
630102307,9,0,0,0,0,0,0,0,0,0,0,0,4,15,10,7,2,
630102308,7,0,0,0,0,0,0,0,0,0,0,0,1,10,16,8,4,
630102309,6,0,0,0,0,0,0,0,0,0,0,2,3,4,10,9,4,
630102310,6,0,0,0,0,0,0,0,0,0,0,0,5,11,9,4,1,
630102311,7,0,0,0,0,0,0,0,0,0,0,0,4,14,16,7,2,
630102312,5,0,0,0,0,0,0,0,0,0,0,0,4,10,12,4,1,
630102313,7,0,0,0,0,0,0,0,0,0,0,1,4,4,7,12,1,
630102314,9,0,0,0,0,0,0,0,0,0,0,0,2,10,11,6,1,
630102315,11,0,0,0,0,0,0,0,0,0,0,0,0,10,9,3,4,
630102316,13,0,0,0,0,0,0,0,0,0,0,0,0,9,13,6,1,
630102317,3,0,0,0,0,0,0,0,0,0,0,0,6,11,11,13,
630102318,13,0,0,0,0,0,0,0,0,0,0,0,4,8,6,8,4,
630102319,6,0,0,0,0,0,0,0,0,0,0,0,5,9,12,6,6,
630102320,9,0,0,0,0,0,0,0,0,0,0,0,12,9,10,7,
630102321,4,0,0,0,0,0,0,0,0,0,0,0,3,5,12,9,
630102322,7,1,0,0,0,0,0,0,0,0,0,0,3,5,16,9,1,
630102323,3,0,0,0,0,0,0,0,0,0,3,0,3,7,13,10,3,
630102324,10,0,0,0,0,0,0,0,0,0,0,2,4,9,11,7,5,
630102325,9,0,0,0,0,0,0,0,0,0,0,2,6,7,7,9,1,
630102326,6,0,0,0,0,0,0,0,0,0,0,0,4,12,13,6,1,
630102327,12,0,0,0,0,0,0,0,0,0,0,0,4,8,11,7,3,
630102328,7,0,0,0,0,0,0,0,0,0,0,0,3,5,15,8,1,
630102329,8,0,0,0,0,0,0,0,0,0,0,1,5,6,16,8,1,
630102330,12,0,0,0,0,0,0,0,0,0,0,0,7,7,13,8,
630102331,3,0,0,0,0,0,0,0,0,0,0,0,1,5,10,1,2,
630102332,12,0,0,0,0,0,0,0,0,0,0,0,2,3,8,9,4,
630102333,8,2,0,0,0,0,0,0,0,0,0,0,0,5,13,6,
630102334,15,0,0,0,0,0,0,0,0,0,0,0,4,8,19,4,
