deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,104,52,0.5,40891037
630102301,102,31,0.30392156862745096,25067295
630102302,111,41,0.36936936936936937,33971202
630102303,110,53,0.4818181818181818,41205047
630102304,97,38,0.3917525773195876,28079885
630102305,95,41,0.43157894736842106,30961311
630102306,101,40,0.39603960396039606,31751750
630102307,105,54,0.5142857142857142,39691476
630102308,108,43,0.39814814814814814,35127604
630102309,97,43,0.44329896907216493,34557249
630102310,105,45,0.42857142857142855,34782414
630102311,132,60,0.45454545454545453,48929666
630102312,125,48,0.384,36416012
630102313,91,39,0.42857142857142855,28819263
630102314,101,31,0.3069306930693069,23551354
630102315,114,50,0.43859649122807015,38799277
630102316,116,48,0.41379310344827586,37997163
630102317,114,50,0.43859649122807015,41045789
630102318,88,38,0.4318181818181818,28427666
630102319,99,40,0.40404040404040403,28927595
630102320,103,49,0.47572815533980584,36072127
630102321,126,57,0.4523809523809524,43188360
630102322,120,58,0.48333333333333334,46496465
630102323,96,45,0.46875,34207073
630102324,95,34,0.35789473684210527,25679622
630102325,95,39,0.4105263157894737,30221318
630102326,101,47,0.46534653465346537,36339164
630102327,106,48,0.4528301886792453,38242315
630102328,96,41,0.4270833333333333,29721503
630102329,106,41,0.3867924528301887,29977523
630102330,109,47,0.43119266055045874,35922131
630102331,109,48,0.44036697247706424,37064524
630102332,123,51,0.4146341463414634,37665452
630102333,113,53,0.4690265486725664,44478252
630102334,99,44,0.4444444444444444,32052226
630102335,109,42,0.3853211009174312,35108904
630102336,89,52,0.5842696629213483,38615477
630102337,111,39,0.35135135135135137,32329440
630102338,104,46,0.4423076923076923,35243852
630102339,124,61,0.49193548387096775,48160707
630102340,87,36,0.41379310344827586,28763490
630102341,107,46,0.42990654205607476,34219295
630102342,106,51,0.4811320754716981,40349604
630102401,113,41,0.36283185840707965,33782562
630102402,107,43,0.40186915887850466,29682839
630102403,103,44,0.42718446601941745,37131327
630102404,111,49,0.44144144144144143,37526586
630102405,107,44,0.411214953271028,34474616
630102406,113,46,0.40707964601769914,38938577
630102407,123,48,0.3902439024390244,38103667
630102501,119,54,0.453781512605042,41964723
630102502,100,35,0.35,29068440
630102503,116,50,0.43103448275862066,39021989
630102504,104,41,0.3942307692307692,30409421
630102505,104,41,0.3942307692307692,31445341
630102506,100,41,0.41,33476655
630102507,94,40,0.425531914893617,29803670
630102508,119,51,0.42857142857142855,41536286
630102509,105,50,0.47619047619047616,39307111
630102510,103,46,0.44660194174757284,34157554
630102511,106,43,0.4056603773584906,36249172
630102512,115,51,0.4434782608695652,38042343
630102513,100,44,0.44,35925447
630102601,114,41,0.35964912280701755,32018320
630102701,106,57,0.5377358490566038,37110128
630102702,126,60,0.47619047619047616,49843837
630102703,101,41,0.40594059405940597,32873440
630102704,109,50,0.45871559633027525,41885336
630102705,108,57,0.5277777777777778,45708802
630102706,107,43,0.40186915887850466,32394120
630102707,105,54,0.5142857142857142,38208096
630102708,101,44,0.43564356435643564,33236474
630102709,109,45,0.41284403669724773,36409568
630102710,115,44,0.3826086956521739,35568730
630102901,104,46,0.4423076923076923,34150222
632523101,96,39,0.40625,32946076
632523102,95,33,0.3473684210526316,25991177
632523103,107,46,0.42990654205607476,34237272
632523104,101,38,0.37623762376237624,30227562
632523105,98,41,0.41836734693877553,34175864
632523106,103,41,0.39805825242718446,34541805
632523107,103,43,0.4174757281553398,36203000
632523108,88,33,0.375,23380580
632523109,116,48,0.41379310344827586,35907229
632523110,101,57,0.5643564356435643,43300046
632523111,106,49,0.46226415094339623,39595300
632523112,98,48,0.4897959183673469,35197166
632523113,108,53,0.49074074074074076,39900553
632523114,95,47,0.49473684210526314,33287545
632523115,90,33,0.36666666666666664,26047771
632523116,101,42,0.4158415841584158,32138839
632523117,102,45,0.4411764705882353,33510378
632523118,95,32,0.3368421052631579,23597899
632523119,116,60,0.5172413793103449,43341496
632523120,115,54,0.46956521739130436,43741312
632523121,95,40,0.42105263157894735,30318140
632523122,106,39,0.36792452830188677,29521008
632523123,98,39,0.3979591836734694,29677844
632523124,86,39,0.45348837209302323,25991033
632523125,95,40,0.42105263157894735,31193016
632523126,112,40,0.35714285714285715,30338394
632523127,99,45,0.45454545454545453,36033301
632523128,88,35,0.3977272727272727,28028109
632523129,114,48,0.42105263157894735,38725959
632523130,110,55,0.5,42145146
632523131,105,54,0.5142857142857142,40815754
632523132,87,48,0.5517241379310345,32930129
632523133,103,45,0.4368932038834951,37318682
632523134,71,24,0.3380281690140845,18592005
632523135,122,62,0.5081967213114754,49809787
632523136,86,50,0.5813953488372093,32929207
632523137,103,55,0.5339805825242718,41158871
632523138,115,51,0.4434782608695652,40064312
632523139,111,56,0.5045045045045045,46470221
632523140,99,44,0.4444444444444444,34510040
632523141,91,40,0.43956043956043955,30900400
632523142,91,36,0.3956043956043956,27323078
632523143,112,39,0.3482142857142857,33288933
632523144,96,38,0.3958333333333333,28575296
632523145,82,38,0.4634146341463415,28565747
632523146,101,49,0.48514851485148514,36248780
632523147,95,48,0.5052631578947369,35181191
632523148,104,48,0.46153846153846156,35521293
632523149,89,32,0.3595505617977528,24119679
632523150,106,45,0.42452830188679247,35269919
632523151,98,43,0.4387755102040816,31672228
632523152,99,41,0.41414141414141414,30950909
632523153,103,48,0.46601941747572817,40391063
632523154,97,42,0.4329896907216495,31807413
632523155,101,35,0.3465346534653465,27543418
632523156,75,33,0.44,25247849
632523157,100,36,0.36,30122762
632523158,85,32,0.3764705882352941,26545070
632523159,90,41,0.45555555555555555,31143310
632523160,92,36,0.391304347826087,29751130
632523161,84,41,0.4880952380952381,33708171
632523162,97,38,0.3917525773195876,26530181
632523163,103,49,0.47572815533980584,36840913
632523164,97,46,0.4742268041237113,33624934
632523165,101,44,0.43564356435643564,31077864
632523166,96,40,0.4166666666666667,29138583
632523167,95,43,0.45263157894736844,33528608
632523168,95,38,0.4,27111886
632523169,113,54,0.4778761061946903,40364475
632523170,105,35,0.3333333333333333,29121548
632523171,95,40,0.42105263157894735,32643090
632523172,97,38,0.3917525773195876,29365187
632523173,111,43,0.38738738738738737,32150890
632523174,112,46,0.4107142857142857,35892825
632523175,92,37,0.40217391304347827,27704102
632523176,96,37,0.3854166666666667,26944811
632523177,111,46,0.4144144144144144,36699061
632523178,84,35,0.4166666666666667,23574171
632523179,92,41,0.44565217391304346,32590764
632523180,109,37,0.3394495412844037,31832816
632523181,105,41,0.3904761904761905,30253809
632523182,116,38,0.3275862068965517,32042711
632523183,90,42,0.4666666666666667,31583108
632523184,89,35,0.39325842696629215,27540235
632523185,99,32,0.32323232323232326,23568282
632523186,88,41,0.4659090909090909,32079473
632523187,113,49,0.4336283185840708,41101722
632523188,95,40,0.42105263157894735,31936099
632523189,102,49,0.4803921568627451,39204263
632523190,117,60,0.5128205128205128,46068569
632523191,105,48,0.45714285714285713,36647707
632523192,92,36,0.391304347826087,26020893
632523193,91,39,0.42857142857142855,25825794
632523194,94,39,0.4148936170212766,30191111
632523195,93,40,0.43010752688172044,31380611
632523196,102,40,0.39215686274509803,31020410
632523197,111,53,0.4774774774774775,41473930
632523198,108,42,0.3888888888888889,33538541
632523199,90,36,0.4,28967811
632523200,92,42,0.45652173913043476,31501275
632523201,99,43,0.43434343434343436,30973770
632523202,84,33,0.39285714285714285,24811737
632523203,93,35,0.3763440860215054,24184742
632523204,107,47,0.4392523364485981,34930674
632523205,92,37,0.40217391304347827,28815162
632523206,81,30,0.37037037037037035,22963812
632523207,88,32,0.36363636363636365,24809552
632523208,119,50,0.42016806722689076,40947417
632523209,93,34,0.3655913978494624,27332978
632523210,85,36,0.4235294117647059,28847044
632523211,79,39,0.4936708860759494,26887480
632523212,95,40,0.42105263157894735,31824335
632523213,93,30,0.3225806451612903,23714613
632523214,98,51,0.5204081632653061,37608150
632523215,114,46,0.40350877192982454,37437192
632523216,94,47,0.5,33505809
632523217,96,47,0.4895833333333333,37228571
632523218,88,36,0.4090909090909091,25920476
632523219,114,50,0.43859649122807015,40898323
632523220,103,52,0.5048543689320388,39859438
632523221,72,27,0.375,19278181
632523222,100,37,0.37,29336705
632523223,116,56,0.4827586206896552,43943735
632523224,79,29,0.3670886075949367,23128534
632523225,85,35,0.4117647058823529,24295630
632523226,108,48,0.4444444444444444,37839283
632523227,73,32,0.4383561643835616,22300502
632523228,81,25,0.30864197530864196,17674818
632523229,90,39,0.43333333333333335,31069265
632523230,113,51,0.45132743362831856,39913809
632523231,85,39,0.4588235294117647,29190311
632523232,93,39,0.41935483870967744,31326543
632523233,76,27,0.35526315789473684,20260583
632523234,91,39,0.42857142857142855,31289242
632523235,83,31,0.37349397590361444,23969982
632523236,83,30,0.3614457831325301,23742370
632523237,120,55,0.4583333333333333,41994560
632523238,102,52,0.5098039215686274,39907011
632523239,91,44,0.4835164835164835,36921152
632523240,96,43,0.4479166666666667,32711816
632523241,93,46,0.4946236559139785,32691786
632523242,92,30,0.32608695652173914,23140043
632523243,98,49,0.5,36469678
632523244,112,46,0.4107142857142857,38063217
632523245,97,45,0.4639175257731959,35532743
632523246,101,44,0.43564356435643564,33710195
632523247,96,38,0.3958333333333333,32252662
632523248,89,41,0.4606741573033708,28207137
632523249,90,40,0.4444444444444444,29217287
632523250,85,41,0.4823529411764706,30777623
632523251,118,60,0.5084745762711864,47463021
632523252,100,42,0.42,33218671
632523253,97,42,0.4329896907216495,35491859
632523254,83,34,0.40963855421686746,22877088
632523255,111,43,0.38738738738738737,35806197
632523256,91,42,0.46153846153846156,30505854
632523257,114,51,0.4473684210526316,40050621
632523258,105,41,0.3904761904761905,30920988
632523259,110,49,0.44545454545454544,39699951
632523260,98,39,0.3979591836734694,31141100
632523261,105,49,0.4666666666666667,38400695
632523262,96,39,0.40625,30556354
632523263,106,36,0.33962264150943394,28092143
632523264,111,52,0.46846846846846846,39503268
632523265,110,51,0.4636363636363636,41569539
632523266,93,42,0.45161290322580644,30112404
632523267,96,41,0.4270833333333333,31577680
632523268,83,40,0.4819277108433735,28582265
632523269,95,42,0.4421052631578947,32929519
632523270,108,46,0.42592592592592593,36333387
632523271,105,45,0.42857142857142855,35865957
632523272,109,50,0.45871559633027525,39677326
632523273,85,35,0.4117647058823529,27101393
632523274,92,37,0.40217391304347827,27596402
632523275,112,41,0.36607142857142855,33983602
632523276,104,39,0.375,27962082
632523277,109,51,0.46788990825688076,41397489
632523278,96,33,0.34375,26174261
632523279,84,31,0.36904761904761907,23699487
632523280,101,40,0.39603960396039606,29516473
632523281,112,47,0.41964285714285715,36989946
632523282,112,49,0.4375,36057635
632523283,126,52,0.4126984126984127,43757993
632523284,87,30,0.3448275862068966,21680289
632523285,121,45,0.371900826446281,35899068
632523286,108,45,0.4166666666666667,36252707
632523287,110,44,0.4,31349957
632523288,87,37,0.42528735632183906,26512338
632523289,98,42,0.42857142857142855,33375199
632523290,99,36,0.36363636363636365,30619509
632523291,106,41,0.3867924528301887,34349765
632523292,108,51,0.4722222222222222,38191580
632523293,107,43,0.40186915887850466,35974336
632523294,115,59,0.5130434782608696,43314312
632523295,90,41,0.45555555555555555,29134744
632523296,113,41,0.36283185840707965,30351679
632523297,113,53,0.4690265486725664,38615446
632523298,123,36,0.2926829268292683,29377728
632523299,101,48,0.4752475247524752,36149594
632523300,91,43,0.4725274725274725,29497281
632523301,120,56,0.4666666666666667,42855342
632523302,85,37,0.43529411764705883,27624999
632523303,109,44,0.4036697247706422,33857532
632523304,111,54,0.4864864864864865,40402878
632523305,121,50,0.4132231404958678,41526327
632523306,82,36,0.43902439024390244,27042248
632523307,91,37,0.4065934065934066,30677434
632523308,99,38,0.3838383838383838,29263171
632523309,108,45,0.4166666666666667,37513639
632523310,112,42,0.375,33618107
632523311,118,43,0.3644067796610169,37878151
632523312,90,36,0.4,26089335
632523313,88,36,0.4090909090909091,23902048
632523314,102,41,0.4019607843137255,31868897
632523315,104,44,0.4230769230769231,34681784
632523316,98,49,0.5,39459073
632523317,98,41,0.41836734693877553,33242215
632523318,103,49,0.47572815533980584,37358280
632523319,106,43,0.4056603773584906,30294721
632523320,104,39,0.375,31065106
632523321,92,45,0.4891304347826087,35415123
632523322,98,44,0.4489795918367347,33552472
632523323,100,38,0.38,31545423
632523324,105,49,0.4666666666666667,36139232
632523325,93,42,0.45161290322580644,32985357
632523326,109,50,0.45871559633027525,41367711
632523327,96,39,0.40625,26867498
632523328,101,47,0.46534653465346537,36756999
632523329,119,64,0.5378151260504201,51412887
632523330,106,50,0.4716981132075472,39818518
632523331,100,45,0.45,31135009
632523332,113,57,0.504424778761062,45481043
632523333,100,44,0.44,35703129
632523334,94,39,0.4148936170212766,31261012
632523335,117,46,0.39316239316239315,36772566
632523336,109,45,0.41284403669724773,37558333
