,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,2,0,0,0,0,4,3,5,1,6,6,5,4,1,
630102301,4,0,0,0,0,1,0,4,4,6,2,4,2,
630102302,2,1,0,0,1,0,6,1,6,6,8,3,1,
630102303,3,1,0,0,0,7,4,1,6,5,0,7,6,
630102304,4,0,0,0,3,2,5,2,2,3,5,6,2,
630102305,2,0,0,0,0,5,7,4,5,4,8,9,5,1,
630102306,3,0,0,0,0,0,3,5,6,3,5,2,6,
630102307,3,0,0,0,0,8,2,7,1,3,5,4,7,
630102308,3,0,0,0,1,4,3,3,6,5,3,2,7,
630102309,4,0,0,0,0,2,3,7,0,2,4,7,4,1,
630102310,1,0,0,0,2,4,10,5,2,10,2,12,6,
630102311,0,0,0,0,0,2,5,3,1,10,2,4,3,
630102312,0,0,0,0,1,4,6,2,4,2,3,6,3,
630102313,1,0,0,0,0,3,7,4,15,0,3,5,4,
630102314,3,0,0,0,0,1,3,7,2,3,3,5,6,
630102315,3,0,0,0,0,5,7,11,4,11,5,4,5,
630102316,7,0,0,0,2,2,3,1,6,1,4,4,2,
630102317,3,0,0,0,0,8,5,4,5,11,6,7,1,
630102318,1,0,0,0,0,1,4,6,3,8,3,3,4,
630102319,1,0,0,0,0,1,6,2,3,4,3,4,1,1,
630102320,3,0,0,0,0,1,10,4,4,7,7,12,6,
630102321,5,0,0,0,7,0,0,5,6,2,5,2,4,
630102322,1,0,0,0,0,4,2,4,4,4,1,7,2,
630102323,1,0,0,0,0,4,3,6,5,11,4,9,3,
630102324,0,0,0,0,0,7,8,1,4,3,5,8,6,
630102325,1,0,0,0,0,4,6,5,6,5,3,11,2,
630102326,3,0,0,0,1,2,7,4,4,6,4,3,3,
630102327,4,0,0,0,1,2,3,9,6,6,8,9,5,
630102328,4,0,0,0,0,0,8,8,6,4,3,5,4,
630102329,5,0,0,0,0,4,5,2,6,5,2,8,4,
630102330,3,0,0,0,0,5,2,2,4,5,4,7,3,
630102331,2,1,0,0,0,3,6,4,5,8,5,3,5,
630102332,0,0,0,0,0,3,2,3,9,9,5,8,2,
630102333,1,0,0,0,2,4,3,7,1,1,2,3,8,
630102334,4,0,0,0,0,3,6,3,3,6,2,7,3,
630102335,1,0,0,0,0,9,2,3,4,6,3,3,5,
630102336,2,0,0,0,0,2,4,4,6,6,3,4,2,
630102337,3,0,0,0,0,1,3,1,8,4,6,7,4,
630102338,3,0,0,0,1,2,0,5,9,4,6,8,4,
630102339,8,0,0,0,0,2,3,1,2,4,1,6,7,1,
630102340,5,0,0,0,0,2,4,5,7,7,5,3,3,
630102341,4,0,0,0,0,2,6,4,8,2,7,8,5,
630102342,6,0,0,0,0,5,3,4,8,5,0,2,1,
630102401,2,0,0,0,0,3,6,1,6,2,5,5,2,
630102402,2,0,0,0,0,2,8,2,4,7,4,8,3,
630102403,4,0,0,0,0,4,3,1,3,6,3,6,7,
630102404,4,0,0,0,2,6,5,1,5,7,4,8,3,
630102405,1,0,0,0,0,4,1,10,2,3,13,8,11,
630102406,7,0,0,0,0,2,4,1,6,9,5,3,4,
630102407,4,0,0,0,0,7,3,6,1,8,0,6,3,
630102501,2,0,0,0,1,0,9,0,13,3,9,5,3,
630102502,3,0,0,0,0,1,5,4,6,4,3,6,
630102503,2,0,0,0,0,1,11,5,3,3,6,2,6,
630102504,1,0,0,0,0,4,3,8,4,2,4,4,1,
630102505,2,0,0,0,0,6,3,7,2,2,5,5,2,
630102506,0,0,0,0,0,4,2,6,5,4,5,5,2,
630102507,5,0,0,0,0,5,5,2,4,7,3,7,3,
630102508,1,0,0,0,0,8,0,4,10,7,5,5,5,
630102509,2,0,0,0,0,4,4,8,2,4,3,5,4,2,
630102510,1,0,0,0,1,4,3,7,4,7,5,5,5,
630102511,3,0,0,0,0,2,4,2,5,9,4,6,6,
630102512,4,0,0,0,4,1,2,2,6,4,3,7,1,
630102513,1,0,0,0,1,3,4,1,5,8,7,8,3,
630102601,1,0,0,0,0,6,8,5,4,0,3,5,3,
630102701,1,0,0,0,0,1,9,3,5,4,8,7,4,
630102702,1,0,0,0,1,0,3,9,1,6,2,5,2,
630102703,1,0,0,0,0,2,7,8,5,6,6,3,3,
630102704,3,0,0,0,0,4,3,7,4,2,5,9,6,
630102705,0,0,0,0,0,1,6,3,2,0,5,2,3,
630102706,4,0,0,0,2,7,3,1,9,6,5,4,7,
630102707,3,0,0,0,0,7,2,6,4,6,5,5,1,
630102708,2,0,0,0,0,4,4,7,7,7,5,6,7,
630102709,1,0,0,0,2,0,5,1,4,10,1,8,3,
630102710,3,0,0,0,0,3,9,4,11,3,9,2,3,
630102901,4,0,0,0,0,1,5,5,8,4,1,6,2,
632523101,0,0,0,0,0,2,6,0,2,1,4,3,2,
632523102,1,0,0,0,0,3,2,3,4,4,3,6,4,
632523103,1,0,0,0,0,1,11,4,4,3,6,5,1,
632523104,3,0,0,0,0,4,2,6,1,4,9,6,
632523105,1,0,0,0,0,8,6,4,2,2,2,8,
632523106,3,0,0,0,0,1,2,11,3,4,3,3,6,
632523107,2,0,0,0,0,4,5,2,3,3,5,4,4,
632523108,2,0,0,0,0,9,5,1,7,4,8,4,6,
632523109,2,0,0,0,0,3,3,2,6,5,4,8,4,
632523110,1,0,0,0,0,2,4,3,7,13,7,8,6,
632523111,1,0,0,0,0,2,5,6,5,8,2,14,5,
632523112,2,0,0,0,2,3,4,2,4,2,1,1,8,
632523113,3,0,0,0,0,1,4,5,5,5,4,4,5,
632523114,2,0,0,0,0,3,0,10,6,6,1,10,1,
632523115,2,0,0,0,0,3,6,2,3,4,3,6,2,
632523116,0,0,0,0,0,4,6,2,4,7,2,7,8,
632523117,4,0,0,0,0,2,2,7,4,2,6,4,1,
632523118,1,0,0,0,0,3,2,5,6,4,3,5,4,
632523119,7,0,0,0,2,6,3,4,6,5,2,5,1,
632523120,2,0,0,0,0,4,3,3,2,7,3,5,3,
632523121,0,0,0,0,0,2,4,4,4,8,3,7,4,
632523122,4,0,0,0,0,1,6,0,4,5,6,10,6,
632523123,0,1,0,0,0,0,2,2,8,1,6,4,2,
632523124,5,0,0,0,0,0,2,4,1,1,3,5,2,
632523125,1,0,0,0,0,3,2,4,3,2,1,2,5,
632523126,4,0,0,0,0,1,2,7,7,3,6,7,4,
632523127,2,0,0,0,2,3,2,6,2,1,3,11,3,
632523128,2,0,0,0,0,2,4,3,5,2,3,8,4,
632523129,3,1,0,0,0,4,2,6,2,1,3,0,1,1,
632523130,1,0,0,0,0,4,4,9,5,1,2,6,3,1,
632523131,1,0,0,0,1,7,3,4,3,6,4,3,4,
632523132,0,0,0,0,0,4,4,10,4,0,4,9,2,
632523133,2,0,0,0,0,11,6,2,5,5,2,6,4,
632523134,1,0,0,0,0,2,5,4,10,2,4,4,3,
632523135,2,0,0,0,0,3,3,6,2,8,4,7,3,
632523136,0,1,0,0,0,1,4,3,1,2,2,3,1,
632523137,3,0,0,0,0,2,2,4,4,6,5,10,2,
632523138,4,0,0,0,0,0,5,4,4,3,2,9,2,
632523139,3,0,0,0,1,6,6,1,8,4,2,8,4,
632523140,3,0,0,0,0,2,3,4,6,11,1,5,1,
632523141,0,0,0,0,0,2,3,5,4,3,0,2,12,
632523142,3,0,0,0,1,3,4,3,6,2,5,4,3,
632523143,4,0,0,0,0,5,6,5,5,4,3,6,2,
632523144,1,0,0,0,2,2,5,3,7,3,7,2,4,
632523145,1,0,0,0,1,2,1,4,2,2,6,1,6,
632523146,5,0,0,0,0,2,6,1,4,1,4,8,2,1,
632523147,2,1,0,0,0,1,6,4,5,5,5,4,8,
632523148,2,0,0,0,0,0,4,1,5,5,2,3,4,
632523149,2,0,0,0,2,7,3,2,2,3,3,8,4,
632523150,1,0,0,0,0,2,8,11,1,8,6,4,4,
632523151,2,0,0,0,2,4,6,2,7,4,8,7,3,
632523152,2,0,0,0,0,6,6,7,3,2,3,10,2,
632523153,2,0,0,0,0,6,5,3,4,2,5,8,1,
632523154,0,1,0,0,0,1,6,7,3,1,6,5,1,
632523155,1,0,0,0,0,4,3,4,9,6,6,4,3,
632523156,1,0,0,0,0,3,3,4,4,4,6,3,5,
632523157,2,0,0,0,0,2,2,0,1,3,7,8,2,
632523158,2,0,0,0,0,6,5,2,3,4,2,4,2,2,
632523159,1,0,0,0,0,2,3,4,7,1,1,6,4,
