deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,122,57,0.4672131147540984,4421586515
630102301,96,56,0.5833333333333334,4340514981
630102302,96,50,0.5208333333333334,3881043677
630102303,109,50,0.45871559633027525,3880983701
630102304,118,56,0.4745762711864407,4342814348
630102305,108,57,0.5277777777777778,4424728090
630102306,94,51,0.5425531914893617,3956861935
630102307,117,62,0.5299145299145299,4807522433
630102308,113,59,0.5221238938053098,4577250064
630102309,114,48,0.42105263157894735,3727410498
630102310,107,48,0.4485981308411215,3650429083
630102311,90,38,0.4222222222222222,2953677181
630102312,117,56,0.47863247863247865,4343148131
630102313,90,44,0.4888888888888889,3411142501
630102314,114,64,0.5614035087719298,4968293747
630102315,98,53,0.5408163265306123,4117015340
630102316,115,53,0.4608695652173913,4115215606
630102317,99,47,0.47474747474747475,3651123093
630102318,105,54,0.5142857142857142,4182859314
630102319,105,52,0.49523809523809526,4031693818
630102320,103,46,0.44660194174757284,3572718401
630102321,95,51,0.5368421052631579,3956948425
630102322,116,58,0.5,4506806801
630102323,94,51,0.5425531914893617,3960222392
630102324,105,53,0.5047619047619047,4110360037
630102325,98,50,0.5102040816326531,3878017059
630102326,125,62,0.496,4817417181
630102327,95,52,0.5473684210526316,4032879067
630102328,102,52,0.5098039215686274,4034679722
630102329,105,58,0.5523809523809524,4496968641
630102330,90,45,0.5,3491957510
630102331,101,56,0.5544554455445545,4343485994
630102332,104,51,0.49038461538461536,3880022588
630102333,106,48,0.4528301886792453,3722430981
630102334,107,53,0.4953271028037383,4121340658
630102335,113,58,0.5132743362831859,4502058144
630102336,102,50,0.49019607843137253,3876697139
630102337,130,58,0.4461538461538462,4503559580
630102338,109,47,0.43119266055045874,3644014361
630102339,111,56,0.5045045045045045,4344290569
630102340,117,50,0.42735042735042733,3801118656
630102341,122,66,0.5409836065573771,5118305091
630102342,106,51,0.4811320754716981,3965063943
630102401,105,58,0.5523809523809524,4490129246
630102402,122,57,0.4672131147540984,4424209509
630102403,117,47,0.4017094017094017,3648024155
630102404,119,71,0.5966386554621849,5506911221
630102405,100,43,0.43,3342160291
630102406,120,57,0.475,4434131788
630102407,96,49,0.5104166666666666,3799253180
630102501,112,56,0.5,4348304856
630102502,96,50,0.5208333333333334,3874868252
630102503,122,56,0.45901639344262296,4350570083
630102504,118,64,0.5423728813559322,4963448329
630102505,111,51,0.4594594594594595,3959037461
630102506,103,51,0.49514563106796117,3957373490
630102507,114,64,0.5614035087719298,4959671596
630102508,115,49,0.4260869565217391,3801274641
630102509,127,63,0.49606299212598426,4887745059
630102510,108,51,0.4722222222222222,3956677447
630102511,130,68,0.5230769230769231,5273235320
630102512,107,49,0.45794392523364486,3727023889
630102513,111,53,0.4774774774774775,4120332839
630102601,108,66,0.6111111111111112,5124023606
630102701,102,54,0.5294117647058824,4193984104
630102702,124,75,0.6048387096774194,5815586609
630102703,99,43,0.43434343434343436,3337531538
630102704,110,54,0.4909090909090909,4195407716
630102705,125,67,0.536,5189656873
630102706,108,59,0.5462962962962963,4577977691
630102707,83,42,0.5060240963855421,3251010013
630102708,106,59,0.5566037735849056,4573953207
630102709,97,51,0.5257731958762887,3883804871
630102710,103,54,0.5242718446601942,4179613613
630102901,117,61,0.5213675213675214,4736645174
632523101,91,50,0.5494505494505495,3874144097
632523102,106,45,0.42452830188679247,3487357167
632523103,99,53,0.5353535353535354,4027029649
632523104,108,46,0.42592592592592593,3571082328
632523105,94,45,0.4787234042553192,3496637392
632523106,107,50,0.4672897196261682,3880060493
632523107,96,46,0.4791666666666667,3578394858
632523108,96,43,0.4479166666666667,3339972111
632523109,115,62,0.5391304347826087,4810091215
632523110,104,45,0.4326923076923077,3495548344
632523111,109,54,0.4954128440366973,4190891266
632523112,118,57,0.4830508474576271,4425432256
632523113,113,57,0.504424778761062,4423609641
632523114,104,54,0.5192307692307693,4180609084
632523115,100,43,0.43,3333821215
632523116,101,52,0.5148514851485149,4038650658
632523117,118,65,0.5508474576271186,5051093225
632523118,130,65,0.5,5049397687
632523119,101,45,0.44554455445544555,3484108207
632523120,87,39,0.4482758620689655,3018813046
632523121,105,56,0.5333333333333333,4347863362
632523122,113,55,0.48672566371681414,4266007249
632523123,84,42,0.5,3252654550
632523124,103,57,0.5533980582524272,4424418294
632523125,105,52,0.49523809523809526,4038075292
632523126,117,56,0.47863247863247865,4347090200
632523127,95,47,0.49473684210526314,3644336526
632523128,111,49,0.44144144144144143,3805016634
632523129,104,48,0.46153846153846156,3723941769
632523130,102,47,0.46078431372549017,3652182933
632523131,97,44,0.4536082474226804,3414718043
632523132,95,52,0.5473684210526316,4038338170
632523133,112,49,0.4375,3804201511
632523134,86,44,0.5116279069767442,3410451072
632523135,98,51,0.5204081632653061,3949056956
632523136,89,47,0.5280898876404494,3645961095
632523137,92,47,0.5108695652173914,3641746992
632523138,114,56,0.49122807017543857,4349637741
632523139,97,49,0.5051546391752577,3801341486
632523140,106,54,0.5094339622641509,4184543279
632523141,114,47,0.41228070175438597,3651073391
632523142,102,54,0.5294117647058824,4192511133
632523143,110,59,0.5363636363636364,4577454092
632523144,97,40,0.41237113402061853,3105668377
632523145,105,48,0.45714285714285713,3728192735
632523146,93,43,0.46236559139784944,3336974270
632523147,112,60,0.5357142857142857,4656069230
632523148,99,56,0.5656565656565656,4342187476
632523149,112,58,0.5178571428571429,4501522371
632523150,104,43,0.41346153846153844,3263355439
632523151,90,40,0.4444444444444444,3028928833
632523152,86,38,0.4418604651162791,2943391964
632523153,110,60,0.5454545454545454,4665220161
632523154,100,44,0.44,3413236122
632523155,115,54,0.46956521739130436,4191934113
632523156,106,51,0.4811320754716981,3960275327
632523157,99,57,0.5757575757575758,4420022619
632523158,103,47,0.4563106796116505,3645479249
632523159,94,36,0.3829787234042553,2792567968
632523160,112,52,0.4642857142857143,4034867804
632523161,100,47,0.47,3649069607
632523162,123,61,0.4959349593495935,4737900524
632523163,115,56,0.48695652173913045,4275081178
632523164,117,64,0.5470085470085471,4965248893
632523165,102,46,0.45098039215686275,3569306048
632523166,100,51,0.51,3965155154
632523167,106,55,0.5188679245283019,4260993862
632523168,96,59,0.6145833333333334,4569573391
632523169,124,60,0.4838709677419355,4655395433
632523170,106,63,0.5943396226415094,4881439724
632523171,101,46,0.45544554455445546,3568979553
632523172,102,42,0.4117647058823529,3260575764
632523173,109,59,0.5412844036697247,4567731714
632523174,76,33,0.4342105263157895,2556398128
632523175,110,50,0.45454545454545453,3880431250
632523176,102,49,0.4803921568627451,3795656772
632523177,108,55,0.5092592592592593,4261900416
632523178,105,48,0.45714285714285713,3724665468
632523179,96,40,0.4166666666666667,3102925142
632523180,114,60,0.5263157894736842,4657498773
632523181,105,50,0.47619047619047616,3884533046
632523182,105,51,0.4857142857142857,3952468339
632523183,99,56,0.5656565656565656,4345621918
632523184,96,44,0.4583333333333333,3415003522
632523185,111,54,0.4864864864864865,4195042727
632523186,107,51,0.4766355140186916,3961134409
632523187,90,50,0.5555555555555556,3874713260
632523188,97,45,0.4639175257731959,3486204057
632523189,106,52,0.49056603773584906,4035992779
632523190,113,43,0.3805309734513274,3332078317
632523191,106,51,0.4811320754716981,3958435140
632523192,101,42,0.4158415841584158,3258024582
632523193,102,51,0.5,3963437992
632523194,121,50,0.4132231404958678,3882494744
632523195,106,56,0.5283018867924528,4336780293
632523196,85,48,0.5647058823529412,3723878522
632523197,102,51,0.5,3960237790
632523198,135,74,0.5481481481481482,5743432908
632523199,88,44,0.5,3410829477
632523200,104,52,0.5,4035924432
632523201,117,58,0.49572649572649574,4499806378
632523202,99,41,0.41414141414141414,3190014220
632523203,89,36,0.4044943820224719,2789143920
632523204,117,58,0.49572649572649574,4501529118
632523205,104,51,0.49038461538461536,3961442127
632523206,106,56,0.5283018867924528,4345139101
632523207,98,49,0.5,3801241577
632523208,102,50,0.49019607843137253,3878584135
632523209,103,50,0.4854368932038835,3870761490
632523210,91,43,0.4725274725274725,3337343741
632523211,95,43,0.45263157894736844,3333192441
632523212,126,62,0.49206349206349204,4812022525
632523213,113,53,0.4690265486725664,4114463712
632523214,113,50,0.4424778761061947,3878591134
632523215,131,64,0.48854961832061067,4968270322
632523216,83,46,0.5542168674698795,3554219200
