,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,9,8,3,3,1,1,2,0,1,1,5,0,0,0,2,0,1,1,7,2,
630102301,15,6,3,1,2,1,1,2,2,3,5,0,5,2,0,2,0,1,3,3,
630102302,11,10,0,5,1,2,1,2,1,2,2,1,1,0,0,0,0,0,8,2,
630102303,18,9,3,1,1,0,2,0,1,3,6,2,1,0,1,1,4,1,8,1,
630102304,15,17,2,3,0,0,1,1,0,2,1,2,3,1,5,0,1,1,2,1,
630102305,14,3,1,1,2,2,1,1,0,0,3,1,0,2,2,1,1,1,5,3,
630102306,13,3,2,5,1,0,3,0,1,4,2,1,1,1,0,1,2,1,6,
630102307,20,10,4,2,0,4,1,2,1,2,2,1,1,2,0,4,2,3,5,
630102308,13,8,1,3,0,2,2,1,1,3,0,1,2,0,1,5,0,1,3,3,
630102309,15,3,2,1,3,2,2,0,2,4,5,2,1,2,1,0,2,2,9,1,
630102310,10,10,3,3,2,4,3,2,0,3,1,1,0,2,2,1,0,3,3,1,
630102311,11,3,3,2,2,0,2,1,2,3,1,0,1,1,1,2,0,1,2,1,
630102312,10,12,3,0,2,1,3,0,1,3,1,0,1,2,0,1,3,1,8,1,
630102313,15,4,3,6,1,1,0,0,2,1,4,0,1,0,3,0,1,1,5,2,
630102314,12,5,2,2,1,2,3,0,2,2,2,0,2,0,1,2,0,1,11,2,
630102315,14,11,1,2,1,3,4,0,0,1,0,3,4,1,0,2,0,0,12,
630102316,9,5,2,1,1,1,7,0,3,3,0,0,1,0,1,2,5,2,8,1,
630102317,15,4,2,1,1,2,6,2,5,1,2,2,2,2,2,0,1,5,5,2,
630102318,22,10,1,2,2,2,4,5,0,1,1,1,0,1,1,1,3,1,6,3,
630102319,9,6,3,3,0,2,1,0,1,1,2,2,0,1,0,2,1,2,4,2,
630102320,15,4,2,2,2,1,3,0,4,5,2,0,1,1,1,1,4,0,6,1,
630102321,11,9,4,0,0,5,2,2,2,1,0,0,1,3,1,1,4,4,6,7,
630102322,10,13,0,1,1,3,4,3,1,3,0,1,1,4,3,2,1,1,3,
630102323,17,9,2,1,0,1,1,1,2,2,1,0,1,3,1,1,1,1,5,3,
630102324,13,10,2,3,0,1,3,2,0,4,1,2,0,0,0,3,0,0,8,2,
630102325,11,7,2,4,0,2,4,0,2,2,2,1,0,1,4,2,0,4,5,
630102326,11,5,0,0,0,2,4,2,2,2,1,1,2,0,1,3,2,2,5,
630102327,11,6,5,3,2,0,2,0,3,5,4,0,1,0,1,0,1,3,8,
630102328,15,9,2,2,3,2,0,3,2,3,1,0,0,0,0,0,2,0,9,3,
630102329,15,8,1,1,0,5,0,2,2,1,3,1,0,3,0,3,0,0,9,2,
630102330,17,8,1,3,0,2,2,1,3,4,2,0,1,1,1,3,1,2,3,1,
630102331,12,7,3,2,2,1,3,0,1,2,1,1,0,2,2,1,1,1,8,2,
630102332,22,7,3,2,0,3,2,0,0,2,2,1,1,0,0,1,0,1,3,2,
630102333,8,9,2,0,0,1,1,0,0,3,4,1,1,0,2,1,0,1,3,3,
630102334,18,11,2,2,1,2,3,0,1,2,1,0,3,3,2,0,1,0,4,
630102335,16,10,4,0,3,3,4,1,2,4,1,1,1,3,0,1,0,2,6,2,
630102336,10,7,2,3,1,0,3,1,1,3,1,0,2,1,1,0,0,2,5,5,
630102337,10,10,2,1,1,0,1,1,2,2,3,1,1,1,3,0,0,1,4,
630102338,13,8,1,1,1,1,0,1,1,2,0,0,0,0,2,2,2,1,5,
630102339,10,7,2,5,1,1,2,2,0,8,1,3,0,1,0,1,2,2,7,3,
630102340,8,10,1,1,0,4,1,1,2,2,2,1,1,0,1,0,0,2,4,3,
630102341,11,9,0,3,1,4,2,0,1,1,0,1,3,1,0,1,1,1,6,1,
630102342,13,12,1,3,0,0,2,2,2,0,5,0,4,2,1,2,0,0,7,4,
630102401,14,6,4,7,2,1,1,0,1,5,3,2,3,1,0,3,0,1,5,2,
630102402,17,9,2,1,1,2,1,0,0,1,1,1,1,2,2,2,4,1,3,3,
630102403,12,9,3,1,0,2,0,1,0,0,1,2,0,2,0,0,0,3,7,
630102404,17,4,3,3,1,0,3,4,2,2,2,0,1,1,0,2,2,3,5,1,
630102405,19,7,0,3,0,2,1,1,3,9,0,0,0,3,1,3,0,4,6,4,
630102406,12,8,0,6,1,3,3,2,2,1,0,3,0,0,1,2,0,0,9,4,
630102407,9,13,2,2,1,2,0,0,1,4,3,0,1,4,0,0,2,1,9,2,
630102501,21,9,2,1,1,1,4,3,1,1,1,1,2,1,1,0,2,4,3,
630102502,19,4,2,4,1,1,3,4,1,2,3,3,0,2,0,0,2,0,4,3,
630102503,10,9,2,2,1,0,1,2,2,1,2,1,4,2,1,1,0,2,4,2,
630102504,10,7,6,2,1,2,1,2,1,5,4,0,2,0,0,0,2,2,2,4,
630102505,19,10,2,1,1,4,0,2,4,5,2,1,2,0,1,0,1,0,6,3,
630102506,13,8,7,1,1,0,0,1,2,0,1,0,4,1,0,2,2,0,4,1,
630102507,19,11,3,1,2,2,0,1,1,3,3,1,1,1,0,2,1,1,10,3,
630102508,13,9,3,1,1,1,0,2,0,3,1,0,0,0,1,0,0,3,8,2,
630102509,8,15,1,1,3,3,3,0,1,1,1,1,5,1,1,2,0,4,6,3,
630102510,11,10,2,4,1,2,2,0,1,1,1,2,0,3,0,0,0,1,6,
630102511,14,6,0,1,2,1,5,1,1,3,2,4,1,0,0,4,1,1,7,1,
630102512,19,3,1,5,1,3,2,2,3,0,4,1,0,1,4,1,1,1,10,3,
630102513,11,6,2,1,1,1,2,4,0,4,0,0,0,0,0,1,0,2,7,1,
630102601,8,6,0,0,0,1,3,0,2,0,4,0,1,1,1,5,2,1,7,5,
630102701,17,8,2,0,1,1,3,1,6,1,1,2,1,0,0,2,2,0,7,1,
630102702,12,7,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,4,9,1,
630102703,10,10,1,1,2,2,3,1,2,4,1,0,2,3,0,1,0,0,2,1,
630102704,14,4,2,1,3,0,2,2,2,5,3,0,1,4,0,1,0,1,8,
630102705,14,5,0,2,0,2,1,3,1,3,2,0,1,0,1,0,0,1,4,3,
630102706,10,9,2,3,0,1,0,2,0,4,1,3,1,1,1,0,4,3,9,2,
630102707,12,7,4,0,0,1,1,0,2,4,1,1,1,0,1,1,2,1,5,2,
630102708,12,11,3,2,1,3,1,2,1,1,1,1,0,1,1,1,1,1,2,1,
630102709,15,13,3,1,1,1,4,0,2,2,2,0,1,0,0,1,2,0,11,2,
630102710,16,6,1,3,0,2,1,1,3,3,1,0,1,3,1,0,2,1,7,1,
630102901,19,7,3,3,3,4,3,0,1,5,1,0,1,2,2,4,1,3,4,
632523101,12,4,3,1,2,2,0,1,3,3,6,1,2,0,1,0,0,2,8,2,
632523102,7,7,1,2,1,2,1,3,1,2,1,0,3,1,1,0,1,0,6,
632523103,16,7,1,3,0,0,4,0,2,0,1,1,0,1,1,2,1,2,2,1,
632523104,11,6,2,3,0,3,4,2,1,7,1,0,1,0,0,0,0,1,4,3,
632523105,10,7,2,5,1,2,4,0,4,2,3,2,2,1,0,0,0,2,7,3,
632523106,15,9,4,3,3,3,3,0,1,2,0,0,0,0,0,1,2,0,3,3,
632523107,14,11,0,3,1,0,1,5,0,1,5,1,2,1,1,1,0,2,4,2,
632523108,8,14,3,0,2,2,1,2,1,1,1,1,1,0,1,0,1,3,5,2,
632523109,14,7,2,3,1,3,3,0,3,2,3,1,1,1,0,3,1,5,2,1,
632523110,12,9,2,1,1,2,2,3,3,3,2,2,2,1,0,1,1,1,6,1,
632523111,14,11,1,3,3,2,3,2,0,7,3,1,4,2,0,0,0,0,6,
632523112,19,4,0,3,0,1,3,0,0,5,1,2,2,0,0,2,0,1,4,1,
632523113,17,10,1,0,0,0,2,2,2,3,0,0,1,0,2,3,2,1,2,1,
632523114,9,2,1,1,2,0,4,2,1,3,1,1,0,1,1,3,1,1,2,3,
632523115,17,5,3,2,0,0,3,1,1,0,1,2,1,0,0,0,0,0,5,
632523116,19,7,0,2,2,0,3,1,5,2,1,1,0,1,0,2,1,1,4,3,
632523117,17,6,2,2,2,2,1,0,1,3,0,2,1,0,0,2,0,1,6,1,
632523118,8,6,2,0,3,1,1,3,2,2,2,0,0,0,0,3,1,2,5,2,
632523119,13,12,2,1,2,1,2,0,1,5,1,2,1,2,0,2,0,0,9,2,
632523120,16,6,1,2,1,1,1,2,1,0,0,1,0,0,0,2,1,4,4,
632523121,19,1,2,2,4,2,6,0,4,2,1,2,1,0,0,1,2,0,6,2,
632523122,15,7,3,1,0,1,6,1,4,4,2,2,2,1,0,1,1,0,4,1,
632523123,14,10,2,1,1,2,2,2,1,2,2,3,1,0,0,1,1,0,3,3,
632523124,15,2,1,5,0,2,3,1,3,3,3,0,2,1,1,0,2,1,5,1,
632523125,14,6,0,2,0,1,3,3,2,4,2,1,1,2,0,1,0,0,4,3,
