,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,32,29,
630102301,0,33,31,
630102302,0,22,35,
630102303,0,21,34,
630102304,2,26,22,
630102305,0,21,24,
630102306,0,26,26,
630102307,2,24,26,
630102308,0,14,32,
630102309,2,35,15,
630102310,0,39,23,
630102311,0,22,23,
630102312,3,17,26,
630102313,4,24,14,
630102314,0,22,31,
630102315,0,26,26,
630102316,0,28,19,
630102317,0,22,37,
630102318,0,24,19,
630102319,0,24,27,
630102320,0,15,31,
630102321,0,22,35,
630102322,0,29,27,
630102323,0,27,27,
630102324,1,20,22,
630102325,0,25,23,
630102326,0,29,28,
630102327,0,30,33,
630102328,0,15,32,
630102329,0,30,18,
630102330,0,16,29,
630102331,0,20,34,
630102332,4,13,28,
630102333,0,18,42,
630102334,0,24,23,
630102335,0,25,29,
630102336,0,22,35,
630102337,1,29,29,
630102338,0,24,19,
630102339,1,15,24,
630102340,0,23,29,
630102341,2,20,27,
630102342,0,15,30,
630102401,2,28,21,
630102402,0,27,28,
630102403,0,18,17,
630102404,0,21,35,
630102405,0,25,21,
630102406,1,29,22,
630102407,1,19,23,
630102501,0,20,19,
630102502,0,20,23,
630102503,0,14,34,
630102504,0,26,26,
630102505,0,17,21,
630102506,8,27,24,
630102507,0,21,35,
630102508,0,18,28,
630102509,0,31,24,
630102510,0,23,25,
630102511,0,10,16,
630102512,0,22,30,
630102513,5,24,21,
630102601,3,23,33,
630102701,0,33,27,
630102702,0,17,21,
630102703,0,24,21,
630102704,0,14,28,
630102705,0,24,20,
630102706,2,32,17,
630102707,0,7,32,
630102708,3,23,17,
630102709,0,33,25,
630102710,0,19,31,
630102901,0,16,29,
632523101,1,18,17,
632523102,0,19,20,
632523103,0,18,15,
632523104,0,14,18,
632523105,1,13,25,
632523106,4,24,23,
632523107,2,25,23,
632523108,0,16,27,
632523109,0,26,25,
632523110,0,16,29,
632523111,0,29,20,
632523112,0,28,23,
632523113,0,26,22,
632523114,0,19,25,
632523115,0,19,17,
632523116,1,22,15,
632523117,1,20,30,
632523118,1,20,20,
