,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,7,3,1,2,
630102301,14,7,1,1,
630102302,12,15,1,
630102303,18,8,
630102304,16,13,2,
630102305,16,6,4,1,
630102306,17,10,1,
630102307,15,15,3,1,
630102308,18,10,8,
630102309,19,13,4,
630102310,18,7,2,
630102311,19,9,2,
630102312,19,9,
630102313,14,10,7,
630102314,13,11,6,
630102315,12,12,4,
630102316,16,8,4,
630102317,11,14,1,
630102318,10,8,7,
630102319,14,16,4,
630102320,16,2,2,
630102321,14,7,3,1,
630102322,12,11,5,2,
630102323,10,1,3,
630102324,17,10,1,
630102325,18,9,4,
630102326,16,16,1,
630102327,16,11,3,2,
630102328,17,13,1,
630102329,12,10,4,
630102330,12,7,0,1,
630102331,16,11,3,
630102332,15,6,2,
630102333,8,7,1,
630102334,18,10,3,
630102335,15,7,1,1,
630102336,11,10,2,
630102337,7,12,2,
630102338,22,12,2,
630102339,18,6,1,
630102340,14,11,3,
630102341,18,4,
630102342,19,10,3,2,
630102401,25,12,3,
630102402,22,10,4,
630102403,13,15,1,
630102404,16,12,1,1,
630102405,13,9,4,
630102406,27,9,3,
630102407,12,10,3,
630102501,17,9,3,
630102502,13,11,2,
630102503,17,9,2,
630102504,20,6,7,
630102505,21,10,
630102506,14,12,3,
630102507,15,9,2,
630102508,9,15,7,
630102509,22,10,3,
630102510,21,13,1,
630102511,13,8,3,1,
630102512,10,14,2,
630102513,11,15,4,
630102601,24,14,3,2,
630102701,23,12,4,
630102702,15,10,8,
630102703,20,9,
630102704,9,10,
630102705,12,11,3,
630102706,15,9,7,
630102707,15,10,7,
630102708,17,14,3,
630102709,17,6,
630102710,12,13,1,
630102901,17,8,
632523101,16,11,6,
632523102,16,7,2,
632523103,18,5,1,
632523104,9,7,2,
632523105,15,12,2,
632523106,13,12,4,1,
632523107,15,12,2,
632523108,10,8,1,
632523109,23,8,2,
632523110,16,10,3,1,
632523111,9,9,6,1,
632523112,8,7,4,1,
632523113,14,5,4,
632523114,12,11,5,2,
632523115,11,8,1,1,
632523116,16,13,2,
632523117,13,9,4,
632523118,17,11,4,
632523119,23,10,3,1,
632523120,22,13,3,
632523121,13,11,5,
632523122,18,10,4,
632523123,11,11,1,
632523124,15,10,3,
632523125,13,6,
632523126,18,7,6,
632523127,16,9,1,
632523128,18,13,1,
632523129,8,8,1,
632523130,13,13,4,
632523131,13,6,2,1,
632523132,10,7,3,
632523133,15,5,2,1,
632523134,11,13,1,
632523135,11,11,3,
632523136,12,11,1,
632523137,10,9,4,1,
632523138,11,19,1,
632523139,14,16,2,
632523140,14,11,3,
632523141,12,3,3,
632523142,20,6,2,
632523143,12,9,5,
632523144,14,11,2,
632523145,7,9,2,
632523146,14,6,5,1,
632523147,12,5,2,
632523148,10,8,
632523149,18,9,3,1,
632523150,21,9,3,
632523151,18,4,5,
632523152,19,7,2,
632523153,19,11,5,
632523154,14,12,0,1,
632523155,13,11,2,
632523156,11,13,1,1,
632523157,19,10,3,
632523158,17,9,2,
632523159,8,8,1,
632523160,14,7,3,
632523161,12,8,2,
632523162,18,11,
632523163,11,9,2,
632523164,16,8,1,
632523165,19,7,1,
632523166,14,10,5,
632523167,14,11,1,
632523168,14,10,3,
632523169,13,10,1,1,
632523170,16,8,
632523171,8,11,3,
632523172,11,7,6,
632523173,23,15,3,
632523174,12,9,2,
632523175,13,12,3,
632523176,13,13,2,1,
632523177,5,10,5,
632523178,14,12,3,
632523179,16,8,3,
632523180,13,3,2,
632523181,9,9,7,
632523182,9,10,0,1,
632523183,26,9,4,
632523184,17,16,1,1,
632523185,17,7,1,1,
632523186,12,10,3,
632523187,20,6,1,
632523188,15,8,1,
632523189,14,14,1,
632523190,20,7,2,
632523191,5,11,3,
632523192,13,6,4,
632523193,13,13,1,
632523194,23,16,2,
632523195,16,8,
632523196,18,6,1,
632523197,12,14,4,
632523198,13,15,3,
632523199,7,7,2,1,
632523200,16,13,3,3,
632523201,18,5,2,
632523202,11,14,1,1,
632523203,14,9,2,
632523204,14,9,6,1,
632523205,14,13,
632523206,12,15,3,2,
632523207,12,10,3,
632523208,11,9,3,
632523209,16,10,4,
632523210,8,13,2,1,
632523211,12,11,2,
632523212,17,9,5,1,
632523213,18,5,4,
632523214,5,5,2,
632523215,18,5,7,
632523216,15,12,2,
632523217,6,13,4,
632523218,13,10,6,
632523219,5,10,3,
632523220,14,9,5,
632523221,9,6,2,
632523222,12,8,2,
632523223,11,7,6,
632523224,16,10,2,
632523225,9,8,0,1,
632523226,11,13,2,
632523227,11,9,3,
632523228,20,7,1,
632523229,17,3,5,
632523230,15,7,
632523231,9,10,2,
632523232,14,7,
632523233,14,14,3,
632523234,16,12,1,1,
632523235,6,8,1,
632523236,9,6,3,
632523237,12,11,2,1,
632523238,7,4,1,
632523239,11,9,3,
632523240,18,10,1,1,
632523241,14,7,4,
632523242,9,10,2,
632523243,13,6,4,
632523244,16,11,2,
632523245,16,7,3,
632523246,13,13,4,
632523247,12,9,4,
632523248,13,14,2,
632523249,10,10,3,
632523250,15,8,
632523251,19,11,3,
632523252,16,7,4,1,
632523253,12,5,3,1,
632523254,8,8,3,
632523255,15,10,
632523256,16,6,2,
632523257,13,4,2,
632523258,15,10,1,1,
632523259,15,7,3,
632523260,13,13,2,
632523261,15,3,4,
632523262,12,9,3,
632523263,12,4,4,
632523264,12,10,3,
632523265,14,8,5,
632523266,17,13,4,
632523267,16,9,4,1,
632523268,9,8,6,
632523269,14,7,2,
632523270,13,11,3,
632523271,14,12,3,
632523272,13,7,1,
632523273,9,17,4,
632523274,10,10,1,1,
632523275,16,11,6,
632523276,12,10,2,1,
632523277,17,6,1,1,
632523278,12,8,
632523279,16,7,3,
632523280,14,10,2,
632523281,16,8,4,
632523282,14,10,1,
632523283,8,4,4,
632523284,14,8,1,
632523285,21,12,5,
632523286,12,8,2,
632523287,17,9,2,
632523288,7,4,2,
632523289,17,7,3,1,
632523290,9,9,2,
632523291,17,11,6,
632523292,17,16,2,1,
632523293,12,6,6,
632523294,16,7,0,1,
632523295,12,4,2,1,
632523296,9,8,4,
632523297,22,8,3,1,
632523298,10,4,3,
632523299,9,5,3,
632523300,13,4,4,
632523301,20,7,2,
632523302,13,9,4,2,
632523303,14,13,4,1,
632523304,11,7,1,
632523305,15,7,4,
632523306,19,7,3,
632523307,13,11,2,1,
632523308,19,10,5,
632523309,9,12,3,
632523310,17,10,
632523311,14,15,4,
632523312,16,11,0,1,
632523313,17,9,2,
632523314,18,5,
632523315,18,6,4,
632523316,11,12,1,
632523317,14,12,2,
632523318,21,10,3,
632523319,13,7,1,
632523320,11,5,3,
632523321,10,8,1,
632523322,12,5,7,
632523323,19,10,5,
632523324,14,6,3,1,
632523325,8,14,4,1,
