,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,2,5,22,27,3,
630102301,0,0,1,26,33,
630102302,0,0,2,23,30,
630102303,0,0,3,19,36,3,
630102304,0,1,4,21,36,3,
630102305,0,0,3,21,36,1,
630102306,0,0,2,26,30,1,
630102307,0,0,0,23,32,3,
630102308,0,0,0,16,39,1,
630102309,0,0,1,23,26,5,
630102310,0,0,13,22,32,
630102311,0,0,1,28,37,
630102312,0,0,1,24,41,3,
630102313,0,0,2,26,45,1,
630102314,0,0,1,22,31,1,
630102315,0,0,2,24,27,2,
630102316,0,0,0,21,33,2,
630102317,0,0,2,35,39,3,
630102318,0,0,4,25,33,2,
630102319,0,0,6,29,23,3,
630102320,0,0,2,22,37,3,
630102321,0,0,1,21,43,4,
630102322,0,0,2,16,34,2,
630102323,0,0,4,15,38,1,
630102324,0,0,2,20,43,2,
630102325,0,0,0,23,36,2,
630102326,0,0,2,22,40,2,
630102327,0,0,5,12,37,
630102328,0,1,2,33,40,1,
630102329,0,0,6,33,37,2,
630102330,0,0,2,28,49,1,
630102331,0,0,1,21,37,
630102332,0,1,2,16,31,1,
630102333,0,1,7,17,30,3,
630102334,0,0,6,15,36,3,
630102335,0,0,3,19,40,1,
630102336,0,0,1,21,31,2,
630102337,0,3,5,21,22,2,
630102338,0,0,3,18,29,1,
630102339,0,0,3,24,38,
630102340,0,0,4,33,47,3,
630102341,0,0,4,31,31,1,
630102342,0,0,2,25,32,2,
630102401,0,1,4,26,36,1,
630102402,0,0,0,24,28,
630102403,0,0,1,18,41,2,
630102404,0,0,0,17,28,5,
630102405,0,0,0,15,37,1,
630102406,0,0,0,16,32,
630102407,0,0,4,24,40,1,
630102501,0,1,4,28,34,1,
630102502,0,0,1,34,25,
630102503,0,0,0,22,23,3,
630102504,0,0,0,31,43,
630102505,0,0,2,25,31,4,
630102506,0,2,5,30,30,3,
630102507,0,0,4,29,32,1,
630102508,0,0,4,25,27,1,
630102509,0,0,5,30,46,
630102510,0,0,1,28,32,1,
630102511,0,0,7,18,32,1,
630102512,0,0,6,28,28,1,
630102513,0,1,0,35,30,1,
630102601,0,0,1,30,40,
630102701,0,0,0,26,41,1,
630102702,0,0,0,24,32,3,
630102703,0,0,5,36,38,5,
630102704,0,1,0,23,54,1,
630102705,0,0,7,15,36,
630102706,0,0,4,28,38,1,
630102707,0,0,7,23,33,1,
630102708,0,6,6,20,46,2,
630102709,0,0,3,23,36,
630102710,0,0,8,25,36,1,
630102901,0,0,2,27,33,3,
632523101,0,0,2,18,24,1,
632523102,0,0,4,19,32,2,
632523103,0,0,0,25,25,
632523104,0,0,5,16,23,2,
632523105,0,0,0,16,20,3,
632523106,0,0,11,19,41,1,
632523107,0,0,1,27,29,1,
632523108,0,0,1,18,28,1,
632523109,0,0,1,21,31,3,
632523110,0,0,2,25,36,1,
632523111,0,0,3,24,36,4,
632523112,0,0,4,24,28,
632523113,0,3,4,18,52,
632523114,0,2,6,16,22,
632523115,0,1,4,26,26,4,
632523116,0,0,1,20,37,
632523117,0,0,1,11,42,
632523118,0,0,1,20,32,1,
632523119,0,0,6,30,38,2,
632523120,0,0,3,23,25,
632523121,0,0,1,29,21,1,
632523122,0,0,0,20,43,2,
632523123,0,0,3,25,21,
632523124,0,0,2,23,25,2,
632523125,0,0,1,16,35,2,
632523126,0,0,6,24,33,
632523127,0,0,6,34,31,
632523128,0,0,2,25,27,2,
632523129,0,0,2,28,37,1,
632523130,0,0,5,19,28,1,
632523131,0,0,2,25,24,1,
632523132,0,0,0,16,28,2,
632523133,0,0,3,23,39,1,
632523134,0,0,3,24,22,3,
632523135,0,0,0,24,31,2,
632523136,0,0,3,30,39,2,
632523137,0,2,4,18,33,
632523138,0,0,1,27,45,2,
632523139,0,0,0,23,29,
632523140,0,0,5,24,31,1,
632523141,0,0,6,23,31,1,
632523142,0,2,2,20,24,2,
632523143,0,0,0,20,44,
632523144,0,0,3,17,32,1,
632523145,0,0,1,25,29,3,
632523146,0,0,1,23,23,1,
632523147,0,0,9,29,38,1,
632523148,0,0,1,23,36,
632523149,0,0,3,13,29,
632523150,0,0,2,25,38,
