,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,15,6,2,6,2,
630102301,7,5,4,6,2,
630102302,3,5,2,12,3,1,
630102303,11,2,4,7,
630102304,10,5,2,5,2,
630102305,8,2,4,2,3,
630102306,11,3,1,6,3,
630102307,13,8,3,9,5,
630102308,10,3,4,4,2,
630102309,9,4,1,9,3,
630102310,9,3,1,6,3,
630102311,11,1,3,6,4,
630102312,14,6,2,5,6,
630102313,10,2,3,8,6,
630102314,12,5,2,7,4,
630102315,12,5,3,7,6,
630102316,8,4,2,14,
630102317,8,2,4,6,5,
630102318,7,3,2,6,4,1,
630102319,11,6,3,4,5,
630102320,14,2,2,10,5,
630102321,5,2,5,8,3,
630102322,10,4,2,5,6,
630102323,10,3,4,6,2,
630102324,12,5,2,5,7,1,
630102325,9,2,3,9,4,
630102326,8,1,1,12,4,
630102327,9,2,2,10,2,
630102328,5,3,4,3,3,
630102329,9,7,1,2,3,
630102330,10,2,3,4,5,1,
630102331,7,2,1,6,3,
630102332,10,2,6,8,4,
630102333,12,2,3,11,3,
630102334,12,4,2,5,3,
630102335,9,4,3,5,7,
630102336,9,2,0,4,1,
630102337,9,1,3,11,5,
630102338,7,0,1,8,5,
630102339,9,2,3,5,8,
630102340,9,4,4,11,3,
630102341,10,2,4,9,4,
630102342,8,3,5,6,7,
630102401,13,1,3,6,6,
630102402,12,2,2,14,3,
630102403,15,1,3,2,5,
630102404,11,2,4,4,2,
630102405,11,3,3,9,3,
630102406,11,2,4,7,7,1,
630102407,8,1,4,3,4,
630102501,7,3,1,5,7,
630102502,10,1,3,2,6,
630102503,9,4,3,2,6,
630102504,15,4,3,9,2,
630102505,11,4,2,10,7,
630102506,12,3,5,9,5,
630102507,4,1,2,9,4,
630102508,14,0,2,8,4,
630102509,8,1,1,11,6,
630102510,16,0,2,9,6,
630102511,8,3,0,9,5,
630102512,11,3,1,5,3,
630102513,8,3,3,10,4,
630102601,9,2,3,9,6,
630102701,5,5,6,11,4,
630102702,6,1,4,4,3,1,
630102703,10,4,1,8,4,
630102704,9,5,0,7,6,
630102705,10,2,0,10,4,
630102706,13,2,2,11,2,
630102707,10,5,3,5,2,
630102708,6,4,1,5,10,
630102709,9,1,0,12,5,
630102710,12,3,5,5,8,
630102901,10,4,2,4,4,
632523101,8,3,2,7,4,
632523102,4,5,4,11,3,1,
632523103,8,2,3,9,5,
632523104,5,5,2,14,4,
632523105,5,4,4,10,3,
632523106,11,5,2,10,2,
632523107,9,9,2,8,3,
632523108,7,3,1,8,5,
632523109,7,2,4,5,5,1,
632523110,6,2,4,7,2,
632523111,15,2,3,3,4,
632523112,14,3,3,5,1,1,
632523113,12,1,5,9,4,
632523114,10,5,0,7,6,
632523115,7,3,3,8,5,
632523116,16,6,4,5,6,
632523117,10,2,5,8,1,
632523118,7,4,1,9,3,
632523119,6,1,5,8,1,
632523120,4,2,5,7,4,
632523121,9,0,0,7,4,
632523122,11,3,3,8,3,
632523123,11,3,2,9,4,
632523124,7,5,2,5,3,
632523125,6,3,1,5,1,1,
632523126,9,2,5,7,8,
632523127,16,4,2,8,1,
632523128,8,3,2,10,7,
632523129,11,2,2,6,6,
632523130,6,5,1,7,5,
632523131,8,4,1,7,2,1,
632523132,12,4,1,11,2,
632523133,13,4,3,9,2,
632523134,2,5,2,5,3,
632523135,4,4,1,8,1,
632523136,10,2,1,6,5,
632523137,11,3,5,9,4,
632523138,11,3,1,8,4,
632523139,8,7,2,8,2,
632523140,7,1,7,6,3,
632523141,9,4,4,7,5,
632523142,8,0,2,5,4,
632523143,13,3,1,8,1,
632523144,9,3,1,3,3,
632523145,2,2,1,8,5,
632523146,5,4,3,9,2,
632523147,7,4,3,6,3,
632523148,8,3,3,4,3,
632523149,6,1,4,4,3,
632523150,11,5,3,4,2,1,
632523151,6,2,3,1,2,
632523152,11,2,2,5,2,1,
632523153,10,3,2,9,3,1,
632523154,9,6,2,13,1,
632523155,14,1,4,5,4,
632523156,9,5,3,10,5,
632523157,6,3,2,7,2,
632523158,9,4,0,8,2,
632523159,14,4,1,5,6,
632523160,12,3,5,4,2,
632523161,9,1,4,3,
632523162,7,4,5,4,2,
632523163,8,2,3,8,3,
632523164,10,3,1,11,4,
632523165,10,3,5,9,6,
632523166,6,5,3,8,3,
632523167,11,4,1,7,2,
632523168,5,2,2,10,1,
632523169,7,4,6,6,4,
632523170,6,5,2,10,5,
632523171,12,2,3,6,6,
632523172,9,4,0,3,2,
632523173,6,5,4,3,
632523174,13,1,1,12,1,
632523175,6,4,3,5,2,
632523176,2,7,1,5,3,
632523177,5,3,6,10,
632523178,17,2,3,3,5,
632523179,9,5,0,9,4,
632523180,9,1,0,6,4,
632523181,9,3,2,12,5,
632523182,6,2,1,8,2,
632523183,6,4,4,4,6,
632523184,7,4,5,3,6,
632523185,11,4,4,12,1,
632523186,9,8,2,9,4,
632523187,8,2,3,5,1,
632523188,11,4,0,7,3,
632523189,4,0,7,5,7,
632523190,6,0,4,4,7,
632523191,13,2,4,4,5,
632523192,8,2,5,4,6,
632523193,9,2,5,12,4,
632523194,10,0,2,10,4,1,
632523195,13,3,3,9,3,
632523196,14,2,2,4,4,
632523197,11,3,4,9,3,
632523198,8,4,1,8,7,1,
632523199,9,4,5,6,5,
632523200,8,4,2,4,3,
632523201,9,0,0,5,3,
632523202,9,1,3,10,3,
632523203,5,2,2,12,5,
632523204,6,4,2,11,3,
632523205,18,2,0,9,3,
632523206,9,3,1,7,1,1,
632523207,10,2,0,11,1,
632523208,10,2,6,11,6,
632523209,6,6,3,8,3,
632523210,7,2,0,5,4,
632523211,9,5,0,4,2,
632523212,11,2,6,7,3,
632523213,12,4,1,5,1,
632523214,8,2,3,8,2,
632523215,9,1,7,10,6,
632523216,5,3,3,4,3,
632523217,9,2,2,7,6,
632523218,5,0,2,5,0,1,
632523219,4,3,3,5,2,
632523220,13,1,1,7,4,
632523221,7,2,2,3,1,
632523222,6,4,4,8,3,1,
632523223,7,3,2,8,4,
632523224,16,3,4,5,3,1,
632523225,10,2,4,7,3,
632523226,14,0,3,11,6,
632523227,10,6,2,5,
632523228,14,3,0,4,6,
632523229,9,0,3,7,2,
632523230,7,2,3,9,6,
632523231,6,0,0,10,
632523232,10,2,1,5,2,
632523233,9,2,6,10,3,1,
632523234,3,4,2,11,4,
632523235,23,2,5,3,2,
632523236,9,1,1,3,4,
632523237,12,1,0,8,7,
632523238,5,2,0,8,
632523239,8,2,4,9,6,
632523240,3,4,1,8,3,
632523241,5,3,3,3,4,
632523242,4,3,2,7,2,
632523243,15,0,3,3,1,
632523244,12,4,2,9,5,
632523245,11,5,1,3,3,
632523246,7,0,0,10,3,
632523247,8,3,5,7,4,
632523248,9,4,2,9,1,
632523249,8,3,3,9,3,
632523250,14,2,2,11,3,
632523251,8,3,3,8,5,
632523252,3,0,3,9,2,
632523253,6,5,4,5,2,
632523254,18,1,1,5,5,
632523255,13,3,4,5,5,
632523256,14,5,1,6,3,
632523257,10,3,1,3,7,
632523258,14,3,1,8,3,
632523259,14,2,1,7,
632523260,10,6,2,11,4,
632523261,9,1,3,7,7,
632523262,9,2,4,9,3,
632523263,4,1,3,9,4,1,
632523264,10,3,2,6,2,
632523265,9,4,4,3,3,
632523266,8,3,1,6,5,
632523267,7,4,3,6,4,
632523268,5,5,2,5,5,
632523269,6,0,5,3,3,
632523270,6,0,2,5,4,1,
632523271,5,2,5,11,4,
632523272,13,1,1,12,5,
632523273,12,1,1,7,5,
632523274,4,3,4,4,6,
632523275,12,1,4,5,3,
632523276,9,1,0,6,6,
632523277,6,2,0,7,3,
632523278,8,4,5,2,10,
632523279,12,1,4,3,2,
632523280,16,4,3,8,5,
632523281,8,4,5,9,4,
632523282,9,1,3,5,4,
632523283,5,2,3,7,4,
632523284,8,2,1,7,2,
632523285,13,5,5,7,5,
632523286,11,4,1,6,1,
632523287,14,3,5,5,4,
632523288,11,1,2,4,4,
632523289,12,3,1,7,4,
632523290,11,4,0,9,2,1,
632523291,9,4,0,9,2,
632523292,11,1,1,8,4,
632523293,4,1,1,8,2,
632523294,9,5,4,7,2,
632523295,12,4,4,5,1,
632523296,8,2,5,7,4,1,
632523297,10,3,4,9,7,1,
632523298,10,2,3,8,6,
632523299,11,3,0,11,1,
632523300,13,5,4,4,
632523301,7,2,2,10,3,
632523302,8,2,2,5,7,
632523303,14,4,0,8,3,1,
632523304,9,2,2,7,3,
632523305,10,2,3,3,4,
632523306,12,3,3,8,3,
632523307,5,4,5,5,7,
632523308,7,2,3,7,4,
632523309,3,4,2,11,4,1,
632523310,11,5,1,9,3,
632523311,11,1,1,7,3,
632523312,9,5,7,7,4,
632523313,7,5,0,4,2,
632523314,8,1,1,6,3,
632523315,12,5,2,5,4,
632523316,15,3,3,6,2,
632523317,7,4,6,7,3,
632523318,14,6,1,6,3,
632523319,10,1,1,5,3,
632523320,9,1,2,7,2,
632523321,11,7,1,10,5,1,
632523322,4,2,0,6,4,
632523323,7,2,6,10,3,
632523324,11,1,2,9,2,
632523325,9,4,1,6,4,
632523326,4,2,1,8,9,
632523327,8,3,1,5,2,1,
632523328,6,4,2,5,3,
632523329,9,3,1,6,3,
632523330,11,2,1,6,5,
632523331,13,5,5,5,4,
632523332,9,5,1,5,2,
632523333,11,5,4,12,6,
632523334,9,1,2,3,5,
632523335,8,5,1,3,3,
632523336,8,3,2,4,2,
632523337,10,0,4,3,5,
632523338,11,3,4,7,6,
632523339,12,5,3,4,3,
632523340,12,2,3,5,1,
632523501,6,2,2,4,1,
632523502,9,4,3,14,1,
632523503,12,2,1,10,2,1,
632523504,12,6,2,6,5,
632523505,5,1,1,3,2,
632523506,9,3,2,11,3,
632523507,10,4,1,11,7,
632523508,4,2,4,4,4,
632523509,8,2,2,7,2,
632523510,9,0,3,12,2,
632523511,7,2,2,3,11,
632523512,11,2,2,6,3,
632523513,15,6,5,7,3,
632523514,5,1,2,5,7,
632523515,10,3,1,4,3,
632523516,6,8,1,6,3,
