,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,3,12,1,5,10,5,1,
630102301,8,6,7,4,14,12,1,
630102302,7,9,1,3,9,5,2,
630102303,8,7,5,5,13,5,3,
630102304,9,12,4,7,7,4,3,
630102305,3,9,4,7,9,7,1,
630102306,6,10,2,7,8,6,3,1,
630102307,4,15,10,2,5,10,2,
630102308,14,8,11,8,10,14,
630102309,1,7,8,6,13,11,3,
630102310,6,6,4,5,3,4,3,
630102311,6,10,7,8,9,5,5,
630102312,7,4,9,2,10,8,1,
630102313,4,10,8,5,7,6,2,
630102314,2,8,5,4,7,3,3,
630102315,5,4,7,0,12,2,4,
630102316,7,3,8,6,9,7,2,
630102317,3,8,8,5,5,7,2,
630102318,6,12,4,4,2,10,4,
630102319,6,6,7,7,9,4,6,1,
630102320,2,6,12,4,8,5,3,
630102321,9,10,1,11,8,18,
630102322,8,8,10,3,8,7,3,
630102323,4,6,6,8,4,12,
630102324,2,12,7,8,2,6,1,
630102325,5,8,8,8,8,7,4,
630102326,8,13,12,11,4,5,7,
630102327,2,8,5,2,9,5,3,
630102328,7,5,4,9,6,5,5,
630102329,12,9,3,5,6,5,2,1,
630102330,6,5,8,3,9,8,1,
630102331,7,7,4,5,9,8,5,
630102332,4,5,5,5,10,11,1,
630102333,6,10,4,5,11,10,
630102334,6,7,7,4,2,9,1,
630102335,4,13,2,7,4,9,6,
630102336,4,8,4,5,8,11,2,
630102337,5,13,7,7,5,6,1,
630102338,6,3,3,8,7,6,5,
630102339,6,8,14,4,11,4,6,
630102340,5,4,8,10,7,14,3,
630102341,2,9,3,4,7,9,0,1,
630102342,9,7,8,15,10,3,3,1,
630102401,5,8,6,5,4,8,4,1,
630102402,6,10,2,9,9,4,2,1,
630102403,5,9,5,10,8,5,4,
630102404,2,7,8,9,2,5,4,
630102405,7,7,6,2,5,9,3,
630102406,8,15,7,5,7,8,2,
630102407,3,5,1,8,15,8,3,
630102501,6,5,4,14,7,7,1,
630102502,3,10,7,7,6,5,7,
630102503,7,5,10,4,10,4,6,
630102504,6,9,6,6,9,2,3,
630102505,4,3,4,4,3,11,3,
630102506,11,13,7,5,7,3,5,
630102507,7,9,3,11,3,7,2,
630102508,4,3,7,11,12,6,4,
630102509,6,12,4,9,4,11,5,
630102510,6,8,11,4,7,11,5,
630102511,3,14,7,7,12,11,1,
630102512,5,18,8,4,12,8,1,1,
