,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,1,29,15,
630102301,1,36,22,
630102302,2,40,17,
630102303,0,32,17,
630102304,0,34,12,
630102305,0,39,13,
630102306,2,28,13,
630102307,1,27,19,
630102308,1,32,12,
630102309,3,39,14,
630102310,3,32,20,
630102311,0,27,20,
630102312,0,19,18,
630102313,7,34,12,
630102314,0,27,19,
630102315,1,20,23,
630102316,0,30,14,
630102317,9,32,8,
630102318,2,30,9,
630102319,3,32,18,
630102320,0,27,25,
630102321,0,26,24,
630102322,7,33,21,
630102323,1,35,17,
630102324,0,49,17,
630102325,4,14,25,
630102326,0,29,20,
630102327,3,34,15,
630102328,0,32,13,
630102329,0,31,15,
630102330,0,29,19,
630102331,3,21,11,
630102332,0,26,24,
630102333,0,31,27,
630102334,0,36,15,
630102335,2,31,13,
630102336,0,32,18,
630102337,1,31,20,
630102338,1,29,13,
630102339,1,22,14,
630102340,1,28,23,
630102341,7,44,9,
630102342,0,36,8,
630102401,0,36,14,
630102402,0,29,22,
630102403,0,30,24,
630102404,3,27,19,
630102405,4,30,7,
630102406,4,19,13,
630102407,2,33,14,
630102501,2,35,27,
630102502,1,31,16,
630102503,0,35,19,
630102504,3,22,11,
630102505,0,27,20,
630102506,1,30,15,
630102507,0,31,16,
630102508,1,33,16,
630102509,0,29,14,
630102510,2,38,11,
630102511,0,25,16,
630102512,0,33,16,
630102513,0,31,19,
630102601,0,27,18,
630102701,3,21,24,
630102702,2,22,18,
630102703,1,25,15,
630102704,3,29,18,
630102705,1,38,16,
630102706,0,37,25,
630102707,0,26,26,
630102708,0,27,15,
630102709,1,41,14,
630102710,0,21,11,
630102901,2,32,20,
632523101,9,33,7,
632523102,0,34,13,
632523103,0,27,19,
632523104,2,33,20,
632523105,0,26,21,
632523106,0,21,16,
632523107,2,25,14,
632523108,1,34,10,
632523109,0,27,26,
632523110,0,29,15,
632523111,0,26,19,
632523112,2,31,8,
632523113,2,35,16,
632523114,3,24,17,
632523115,1,30,12,
632523116,6,22,21,
632523117,0,24,6,
632523118,0,37,5,
632523119,1,22,22,
632523120,0,28,17,
632523121,2,26,12,
632523122,1,37,20,
632523123,3,40,12,
632523124,3,22,13,
632523125,1,31,17,
