,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,9,37,14,
630102301,0,15,44,6,
630102302,0,17,40,9,
630102303,0,19,41,7,
630102304,0,14,39,7,
630102305,0,8,53,4,
630102306,1,16,39,7,
630102307,0,14,38,8,
630102308,0,14,38,6,
630102309,0,15,44,8,
630102310,3,18,24,5,
630102311,1,19,42,8,
630102312,0,16,42,7,
630102313,0,13,52,9,
630102314,2,12,33,5,
630102315,1,14,37,12,
630102316,0,8,42,6,
630102317,0,17,46,8,
630102318,0,11,42,3,
630102319,0,28,42,5,
630102320,0,17,39,7,
630102321,3,19,49,4,
630102322,1,5,46,5,
630102323,4,21,34,6,
630102324,0,13,35,5,
630102325,0,13,39,9,
630102326,0,16,40,10,
630102327,0,22,41,2,
630102328,0,14,35,9,
630102329,0,9,40,10,
630102330,0,20,41,2,
630102331,0,10,40,13,
630102332,0,13,48,5,
630102333,0,22,37,4,
630102334,0,20,38,10,
630102335,0,22,27,3,
630102336,0,18,51,6,
630102337,0,14,48,7,
630102338,0,17,38,9,
630102339,0,22,53,13,
630102340,0,8,47,3,
630102341,0,14,56,5,
630102342,0,20,38,10,
630102401,1,13,45,14,
630102402,0,12,50,13,
630102403,0,10,41,10,
630102404,2,17,54,6,
630102405,0,10,39,10,
630102406,0,10,43,11,
630102407,4,10,39,10,
630102501,1,22,53,9,
630102502,0,17,50,6,
630102503,0,11,35,6,
630102504,0,16,37,5,
630102505,1,16,44,8,
630102506,0,28,40,6,
630102507,0,19,60,4,
630102508,3,26,35,9,
630102509,0,20,37,7,
630102510,0,8,46,9,
630102511,0,18,31,10,
630102512,0,22,48,8,
630102513,0,19,28,4,
630102601,0,16,38,8,
630102701,0,14,41,11,
630102702,1,13,38,7,
630102703,0,19,33,6,
630102704,0,14,49,8,
630102705,0,14,36,10,
630102706,0,12,30,8,
630102707,0,18,26,10,
630102708,0,13,36,14,
630102709,0,5,35,9,
630102710,0,7,29,8,
630102901,2,17,36,6,
632523101,0,13,35,10,
632523102,1,16,36,11,
632523103,0,16,39,4,
632523104,0,13,37,7,
632523105,0,17,34,7,
632523106,0,15,41,4,
632523107,0,20,31,7,
632523108,0,12,41,5,
632523109,0,13,37,9,
632523110,0,19,41,9,
632523111,0,13,41,8,
632523112,0,10,52,5,
632523113,0,14,42,6,
632523114,0,5,34,6,
632523115,2,21,28,6,
632523116,0,14,37,3,
632523117,0,14,30,13,
632523118,0,29,45,3,
632523119,1,14,30,10,
632523120,0,23,27,6,
632523121,2,15,37,9,
632523122,1,11,45,7,
632523123,2,13,39,6,
632523124,0,21,32,8,
632523125,0,6,32,8,
632523126,0,18,48,8,
632523127,0,18,33,10,
632523128,0,12,36,1,
632523129,0,15,41,5,
632523130,0,11,55,9,
632523131,0,14,32,3,
632523132,1,18,42,9,
632523133,0,10,44,9,
632523134,0,17,37,5,
632523135,0,20,30,9,
632523136,0,19,42,6,
632523137,3,14,35,12,
632523138,0,21,41,8,
632523139,0,19,29,4,
632523140,0,20,39,7,
632523141,0,26,48,
632523142,0,13,39,7,
632523143,0,16,46,11,
632523144,2,13,52,8,
632523145,0,21,32,7,
632523146,0,12,36,2,
632523147,0,23,49,6,
632523148,0,24,33,9,
632523149,0,10,33,8,
632523150,0,19,46,6,
632523151,2,5,45,4,
632523152,0,13,42,9,
632523153,0,17,23,5,
632523154,3,18,32,3,
632523155,0,25,40,9,
632523156,0,5,36,8,
632523157,2,16,38,12,
632523158,0,22,37,5,
632523159,0,20,29,2,
632523160,0,13,56,5,
632523161,0,19,24,5,
632523162,0,13,39,7,
632523163,0,11,31,8,
632523164,0,11,50,8,
632523165,0,18,39,5,
632523166,0,15,27,7,
632523167,2,12,26,6,
632523168,0,10,50,6,
632523169,0,5,44,5,
632523170,0,9,38,4,
632523171,0,12,48,8,
632523172,3,13,36,4,
632523173,0,13,54,6,
632523174,0,15,32,4,
632523175,1,27,31,4,
632523176,0,20,29,6,
632523177,0,20,36,9,
632523178,0,18,34,4,
632523179,0,12,36,6,
632523180,0,8,42,7,
632523181,0,18,32,11,
632523182,0,8,40,8,
632523183,2,10,43,6,
632523184,0,12,30,2,
632523185,0,12,36,6,
632523186,0,19,35,8,
632523187,0,16,40,4,
632523188,1,15,39,5,
632523189,0,13,55,3,
632523190,0,8,46,6,
632523191,0,20,25,10,
632523192,0,16,30,5,
632523193,0,14,33,5,
632523194,0,13,31,5,
632523195,0,14,34,7,
632523196,0,17,37,5,
632523197,3,20,43,8,
632523198,0,13,44,9,
632523199,0,20,35,10,
632523200,0,19,31,1,
632523201,0,12,35,4,
632523202,2,12,29,
632523203,0,13,34,6,
632523204,2,9,34,8,
632523205,1,10,41,2,
632523206,0,14,37,8,
632523207,0,13,36,10,
632523208,2,11,34,5,
632523209,0,17,30,5,
632523210,1,18,36,7,
632523211,0,15,39,6,
632523212,0,16,47,11,
632523213,0,14,32,3,
632523214,0,13,41,8,
632523215,3,16,50,2,
632523216,1,5,33,8,
632523217,0,16,35,4,
632523218,0,16,46,5,
632523219,0,14,38,9,
632523220,0,18,37,9,
632523221,0,13,34,11,
632523222,0,14,35,4,
632523223,0,9,37,9,
632523224,0,15,33,5,
632523225,1,18,29,9,
632523226,0,15,38,9,
632523227,0,14,40,2,
632523228,0,9,32,6,
632523229,0,12,34,4,
632523230,0,14,48,4,
632523231,0,22,25,6,
632523232,0,13,37,8,
632523233,0,14,51,7,
632523234,0,12,51,7,
632523235,0,17,29,5,
632523236,1,20,29,5,
632523237,0,30,37,5,
632523238,0,10,44,6,
632523239,0,10,33,6,
632523240,0,10,53,8,
632523241,0,18,33,8,
632523242,0,17,30,7,
632523243,0,10,35,12,
632523244,0,17,45,7,
632523245,0,14,38,3,
632523246,4,13,18,8,
632523247,1,15,35,1,
632523248,0,27,40,5,
632523249,0,11,33,11,
632523250,2,13,34,4,
632523251,0,12,36,8,
632523252,0,15,22,6,
632523253,0,13,41,8,
632523254,0,10,39,3,
632523255,0,15,35,7,
632523256,0,18,32,6,
632523257,0,9,42,3,
632523258,0,21,36,15,
632523259,0,8,35,7,
632523260,0,24,32,6,
632523261,0,25,36,2,
632523262,1,16,39,10,
632523263,0,20,42,1,
632523264,0,10,47,9,
632523265,2,14,43,8,
632523266,0,15,25,8,
632523267,0,22,43,8,
632523268,0,16,32,7,
632523269,0,11,39,13,
632523270,0,15,33,6,
632523271,0,13,23,9,
632523272,0,14,59,7,
632523273,0,13,35,7,
632523274,0,13,28,12,
632523275,0,27,44,4,
632523276,0,18,56,2,
632523277,1,11,36,6,
632523278,0,15,35,5,
632523279,0,12,33,4,
632523280,0,8,30,7,
632523281,0,10,53,5,
632523282,0,12,43,7,
632523283,0,18,38,6,
632523284,1,15,42,7,
632523285,0,16,39,5,
632523286,2,16,36,2,
632523287,0,21,33,2,
632523288,0,14,44,4,
632523289,0,19,30,14,
632523290,0,20,23,9,
632523291,0,13,41,7,
632523292,1,11,37,4,
632523293,1,20,34,6,
632523294,0,9,31,7,
632523295,1,14,39,6,
632523296,0,22,45,3,
632523297,0,15,32,7,
632523298,0,10,36,6,
632523299,0,11,57,8,
632523300,0,9,42,5,
632523301,0,14,32,9,
632523302,0,12,37,8,
632523303,0,9,29,7,
632523304,0,18,34,7,
632523305,0,29,31,7,
632523306,0,16,31,5,
632523307,0,9,33,3,
632523308,0,19,41,12,
632523309,0,18,36,8,
632523310,0,12,37,5,
632523311,0,19,39,9,
632523312,1,15,40,3,
632523313,0,21,28,15,
632523314,0,9,35,4,
632523315,0,21,28,8,
632523316,1,8,30,7,
632523317,0,10,43,3,
632523318,0,16,43,6,
632523319,0,19,26,6,
632523320,1,9,46,8,
632523321,0,18,31,3,
632523322,0,17,34,3,
632523323,0,19,41,8,
632523324,0,13,29,8,
632523325,0,12,37,10,
632523326,0,11,51,10,
632523327,0,17,30,7,
632523328,0,13,38,9,
632523329,0,9,39,14,
632523330,0,11,42,11,
632523331,0,13,49,5,
632523332,0,12,34,7,
632523333,0,13,29,13,
632523334,0,14,49,8,
632523335,1,5,57,8,
632523336,1,16,38,9,
632523337,2,24,43,9,
632523338,0,15,41,3,
632523339,0,13,31,4,
632523340,0,13,33,6,
632523501,1,14,23,7,
632523502,0,9,31,3,
632523503,0,22,37,7,
632523504,0,15,29,5,
632523505,0,13,32,3,
632523506,0,18,29,8,
632523507,0,8,38,5,
632523508,0,22,31,5,
632523509,4,19,37,9,
632523510,0,19,49,5,
632523511,1,11,31,8,
632523512,3,19,22,6,
632523513,0,12,36,8,
632523514,1,21,47,3,
632523515,0,20,34,6,
632523516,0,13,30,4,
632523517,0,8,47,9,
632523518,1,14,33,5,
632523519,0,15,34,3,
632523520,0,22,42,7,
632523521,1,17,28,1,
632523522,1,17,32,8,
632523523,1,9,28,5,
632523524,0,10,28,7,
632523525,0,11,35,8,
632523526,0,9,33,5,
632523527,0,13,20,3,
632523528,0,13,25,7,
632523529,1,19,41,7,
632523530,0,16,25,5,
632523531,0,10,38,5,
632523532,1,11,37,6,
632523533,0,26,23,2,
632523534,0,14,37,2,
632523535,0,17,41,2,
632523536,0,18,37,6,
632523537,0,13,38,7,
632523538,0,11,29,7,
632523539,0,18,32,8,
632523540,0,18,35,7,
632523601,0,8,33,8,
632523602,0,12,27,3,
632523603,0,18,37,6,
632523604,2,15,46,4,
632523605,1,15,41,3,
632523606,0,12,38,6,
632523607,0,9,20,4,
632523608,0,14,40,4,
632523609,0,11,34,9,
632523610,0,31,52,5,
632523611,0,17,27,13,
632523612,3,12,27,3,
632523613,1,10,24,2,
632523614,0,9,39,7,
632523615,1,12,29,8,
632523616,0,15,42,8,
632523617,0,3,41,5,
632523618,2,14,37,6,
632523619,1,7,28,5,
632523620,0,22,35,16,
632523901,1,16,36,8,
632523902,2,14,39,8,
632523903,0,19,39,6,
632523904,0,15,26,4,
632523905,1,11,36,7,
632523906,0,22,41,4,
632523907,0,11,35,8,
632523908,2,21,44,7,
632523909,0,21,39,9,
632523910,0,15,46,4,
632524201,0,12,27,3,
632524202,0,20,31,4,
632524203,0,19,38,4,
632524204,2,18,38,6,
632524205,0,17,27,9,
632524206,0,16,28,3,
632524207,0,11,34,6,
632524208,0,13,34,4,
632524209,0,18,31,8,
632524210,0,15,31,9,
632524211,0,17,29,7,
632524212,0,16,35,7,
632524213,0,17,45,10,
632524214,0,15,50,3,
632524215,0,17,43,4,
632524216,4,10,46,11,
632524217,0,13,48,4,
632524218,0,23,36,4,
632524219,0,20,50,5,
632524220,0,18,33,8,
632524221,0,22,26,7,
632524222,0,16,42,4,
632524223,1,11,46,10,
632524224,0,13,51,9,
632524225,0,11,44,9,
632524226,0,9,48,11,
632524227,0,16,47,5,
632524228,0,6,45,6,
632524229,0,15,45,7,
632524230,0,15,44,7,
632524231,0,17,41,4,
632524232,0,16,30,9,
632524233,0,14,41,7,
632524234,1,23,39,12,
632524235,0,10,56,9,
632524236,0,14,39,12,
632524237,0,16,32,8,
632524238,0,17,40,4,
632524239,1,16,44,6,
632524240,0,13,58,5,
632524241,0,9,46,6,
632524242,2,20,32,4,
632524243,0,22,57,4,
632524244,0,11,29,5,
632524245,0,13,41,6,
632524246,0,23,44,6,
632524247,0,15,45,7,
632524248,0,10,38,4,
632524249,0,19,36,12,
632524250,4,18,42,4,
632524251,1,4,55,7,
632524252,0,11,37,
