,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,3,0,0,0,6,18,7,4,
630102301,6,0,0,0,9,17,13,4,
630102302,2,0,0,2,8,13,14,6,1,
630102303,9,0,0,0,12,15,11,10,1,
630102304,6,0,0,1,7,12,15,6,1,
630102305,12,0,0,0,1,13,13,7,2,
630102306,6,0,0,1,10,19,6,4,1,
630102307,6,0,0,0,9,14,12,6,
630102308,4,0,0,0,8,11,19,6,
630102309,4,0,0,1,9,15,19,5,1,
630102310,3,0,0,1,5,2,13,7,
630102311,5,0,0,1,4,8,18,6,
630102312,6,0,0,0,6,13,17,9,
630102313,0,0,0,0,2,10,15,7,
630102314,5,0,0,1,7,8,13,5,
630102315,5,0,0,0,10,6,13,1,1,
630102316,5,0,0,0,1,13,6,8,
630102317,9,0,0,0,4,8,14,7,
630102318,5,0,0,0,8,9,11,4,
630102319,4,0,0,0,9,8,12,4,
630102320,6,0,0,0,7,12,20,5,
630102321,1,0,0,0,4,11,15,5,
630102322,8,0,0,0,7,10,15,3,1,
630102323,7,0,0,0,5,8,7,4,
630102324,10,0,0,0,4,14,11,3,
630102325,4,0,0,0,5,12,9,5,
630102326,2,0,0,0,9,6,10,5,4,
630102327,9,0,0,1,3,14,14,9,
630102328,2,0,0,1,12,11,10,3,
630102329,4,0,0,1,8,12,12,7,
630102330,5,0,0,2,12,10,11,10,
630102331,7,0,0,2,5,9,17,8,
630102332,8,0,0,0,5,11,8,8,1,
630102333,7,0,0,0,8,10,13,12,
630102334,8,0,0,2,1,14,14,6,1,
630102335,6,0,0,0,2,8,10,3,
630102336,6,0,0,0,11,9,7,6,3,
630102337,3,0,0,2,7,8,15,4,
630102338,6,0,0,0,10,12,17,6,
630102339,5,0,0,0,7,8,11,3,
630102340,2,0,0,0,8,6,7,11,
630102341,8,0,0,0,7,10,15,4,1,
630102342,8,0,0,0,10,13,15,4,
630102401,4,0,1,3,11,4,15,3,
630102402,0,0,0,0,9,12,9,7,
630102403,4,0,0,0,11,11,13,3,1,
630102404,6,0,0,2,2,10,9,3,1,
630102405,3,0,0,0,9,13,13,1,1,
630102406,7,0,0,2,9,10,15,8,
630102407,4,0,1,1,5,8,15,8,
630102501,11,0,0,2,3,10,11,7,
630102502,5,0,0,0,8,10,15,7,
630102503,7,0,0,0,6,18,13,4,2,
630102504,4,0,0,0,3,9,9,6,
630102505,3,0,0,0,7,9,16,8,
630102506,8,0,0,1,7,10,7,4,
630102507,2,0,0,0,12,17,9,4,
630102508,4,0,0,3,10,6,12,12,2,
630102509,4,0,0,2,12,10,7,7,1,
