,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,0,12,39,3,
630102301,0,0,9,43,4,
630102302,0,0,4,38,5,
630102303,0,0,9,48,7,
630102304,0,0,3,60,4,
630102305,0,0,9,38,6,
630102306,0,0,2,51,4,
630102307,0,0,9,48,2,
630102308,0,0,12,37,4,
630102309,0,0,13,40,8,
630102310,0,0,3,68,
630102311,0,0,6,39,1,
630102312,0,0,13,45,1,
630102313,0,0,10,64,3,
630102314,0,0,12,45,1,
630102315,0,0,5,58,3,
630102316,0,0,7,51,6,
630102317,0,1,14,41,3,
630102318,0,0,13,41,1,
630102319,0,0,6,54,5,
630102320,0,0,7,45,3,
630102321,0,0,8,46,6,
630102322,0,0,8,65,2,
630102323,0,0,3,58,4,
630102324,0,0,4,41,4,
630102325,0,0,8,51,1,
630102326,0,0,8,55,4,
630102327,0,0,3,60,2,
630102328,0,0,10,48,5,
630102329,0,0,11,46,1,
630102330,0,0,8,51,8,
630102331,0,0,2,54,2,
630102332,0,0,1,49,2,
630102333,0,0,10,48,2,
630102334,0,0,4,54,4,
630102335,0,0,6,43,3,
630102336,0,0,9,56,
630102337,0,2,2,47,3,
630102338,0,0,0,39,2,
630102339,0,0,11,49,3,
630102340,0,0,1,45,9,
630102341,0,0,8,48,1,
630102342,0,0,1,52,5,
630102401,1,0,4,61,6,
630102402,0,0,7,51,5,
630102403,0,0,8,44,7,
630102404,0,0,12,37,3,
630102405,0,0,5,44,6,
630102406,0,0,6,41,2,
630102407,0,0,13,52,4,
630102501,0,0,2,42,3,
630102502,0,0,5,48,5,
630102503,0,0,7,36,6,
630102504,0,0,1,50,4,
630102505,0,0,11,45,3,
630102506,0,0,8,53,2,
630102507,0,0,8,48,2,
630102508,0,0,2,55,4,
630102509,0,0,6,42,3,
630102510,0,0,7,53,4,
630102511,0,0,8,49,5,
630102512,0,0,8,43,7,
630102513,0,0,3,67,3,
630102601,0,0,5,36,5,
630102701,0,0,19,55,2,
630102702,0,0,10,35,1,
630102703,0,0,11,41,5,
630102704,0,0,4,51,3,
630102705,0,0,10,51,3,
630102706,0,0,5,56,3,
630102707,0,0,4,53,3,
630102708,0,0,10,49,5,
630102709,0,2,8,40,1,
630102710,0,0,7,45,6,
630102901,0,0,19,40,2,
632523101,0,0,10,39,7,
632523102,0,0,9,38,9,
632523103,0,1,13,43,
632523104,0,0,8,57,2,
