,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,5,1,
630102301,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,
630102302,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,13,2,
630102303,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,4,
630102304,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,15,1,
630102305,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,14,4,
630102306,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,5,1,
630102307,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,12,2,
630102308,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,8,1,
630102309,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,9,
630102310,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,12,4,
630102311,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,1,
630102312,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15,9,3,
630102313,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,3,
630102314,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,5,2,
630102315,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,3,
630102316,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16,11,2,
630102317,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,9,5,
630102318,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,2,
630102319,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,8,2,
630102320,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,6,5,
630102321,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,23,7,1,
630102322,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,2,
630102323,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,13,1,
630102324,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,4,
630102325,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,14,2,
