,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,0,0,0,0,0,12,12,8,7,7,11,
630102301,0,0,0,0,2,11,12,8,13,7,5,
630102302,0,0,0,0,2,5,6,5,10,7,16,
630102303,0,0,0,0,6,10,5,9,6,1,8,
630102304,0,0,0,0,0,5,19,7,10,3,10,
630102305,0,0,0,0,0,18,8,7,6,4,8,
630102306,0,0,0,0,4,5,15,6,14,7,12,
630102307,0,0,0,0,0,11,14,9,18,11,3,
630102308,0,0,0,0,1,15,10,8,15,5,6,
630102309,0,0,0,0,2,11,10,1,8,9,5,
630102310,0,0,0,0,0,11,8,11,11,4,13,
630102311,0,0,0,0,8,6,6,6,18,3,5,
630102312,0,0,0,2,2,6,11,10,11,7,10,
630102313,0,0,0,0,0,9,10,3,18,12,5,
630102314,0,0,0,0,0,10,5,5,8,2,7,
630102315,0,0,0,0,5,12,8,4,12,6,7,
630102316,0,0,0,0,0,8,11,7,4,7,10,1,
630102317,0,0,0,0,6,9,5,8,15,7,8,
630102318,0,0,0,0,3,17,8,7,6,4,19,
630102319,0,0,0,0,0,7,12,8,11,5,14,
630102320,0,0,0,0,1,10,20,11,11,3,11,
630102321,0,0,0,0,4,16,10,7,15,3,6,1,
630102322,0,0,0,0,2,10,6,7,19,3,5,
630102323,0,0,0,0,2,9,3,7,14,4,3,
630102324,0,0,0,0,2,9,8,7,18,5,5,
630102325,0,0,0,0,2,15,6,8,11,7,20,
630102326,0,0,0,0,0,11,9,8,10,6,16,
630102327,0,0,0,0,1,14,14,8,11,9,7,
630102328,0,0,0,0,1,14,9,6,7,3,6,
630102329,0,0,0,0,2,6,8,7,12,4,2,
630102330,0,0,0,0,1,12,10,8,8,4,9,
630102331,0,0,0,0,1,11,7,17,11,5,9,
630102332,0,0,0,0,2,5,12,16,9,1,12,
630102333,0,0,0,0,1,14,10,4,13,7,7,
630102334,0,0,0,0,0,16,6,6,12,0,11,
630102335,0,0,0,0,3,11,4,8,13,4,12,
630102336,0,0,0,0,0,9,15,9,15,1,6,
630102337,0,0,0,0,2,8,8,7,18,1,6,
630102338,0,0,0,0,3,14,11,5,21,5,10,
630102339,0,0,0,0,7,20,9,3,9,2,10,
630102340,0,0,0,0,3,7,4,9,9,2,15,
630102341,0,0,1,6,3,9,11,6,8,2,13,
630102342,0,0,0,0,0,7,10,8,8,3,9,
630102401,0,0,0,0,1,12,11,4,10,5,11,
630102402,0,0,0,0,0,9,17,13,10,2,7,
630102403,0,0,0,0,0,10,5,8,16,3,8,
630102404,0,0,0,0,1,12,10,8,13,7,8,
630102405,0,0,0,0,1,7,11,11,13,3,10,
630102406,0,0,0,0,1,9,9,4,15,6,4,
630102407,0,0,0,0,0,13,7,4,10,11,6,
630102501,0,0,0,0,2,15,9,5,7,10,9,
630102502,1,0,0,0,4,12,12,6,19,4,4,
630102503,0,0,0,0,1,16,5,9,15,7,13,1,
630102504,0,0,0,0,5,12,8,6,21,3,4,
630102505,0,0,0,0,0,12,2,5,9,7,12,
630102506,0,0,0,0,0,12,8,5,9,3,7,
630102507,0,0,0,0,0,13,10,7,12,6,17,
630102508,0,0,0,0,1,9,14,4,12,7,12,
630102509,0,0,0,0,2,11,9,11,8,5,7,
630102510,0,0,0,0,1,12,13,8,7,12,12,
630102511,0,0,0,0,5,10,7,6,12,6,7,
630102512,0,0,0,0,0,16,8,8,12,3,16,
630102513,0,0,0,0,1,9,10,11,8,4,11,
630102601,0,0,0,0,1,16,9,8,16,4,9,
630102701,0,0,0,0,0,16,13,7,9,1,5,
630102702,0,0,0,0,2,5,12,9,11,3,6,
630102703,0,0,0,0,6,9,9,5,8,9,10,
630102704,0,0,0,0,5,12,3,12,12,9,6,
630102705,0,0,0,0,3,14,7,4,14,11,8,
630102706,0,0,0,0,2,20,11,10,6,6,12,
630102707,0,0,0,0,4,16,10,9,9,8,9,
630102708,0,0,0,0,0,11,13,11,11,1,18,
630102709,0,0,0,0,1,10,10,6,17,5,9,
630102710,0,0,0,0,5,6,8,7,8,5,11,1,
630102901,0,0,0,0,1,9,8,5,10,1,6,
632523101,0,0,0,1,5,6,7,7,14,4,
632523102,0,0,0,0,0,15,2,11,9,7,9,
632523103,0,0,0,0,5,11,3,7,7,3,7,
632523104,0,0,0,0,0,12,5,9,12,8,5,
