,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,11,7,1,1,2,2,0,3,4,3,
630102301,7,8,2,1,2,0,0,3,0,2,
630102302,14,4,1,1,1,1,0,1,1,4,
630102303,14,6,5,0,1,1,1,3,2,1,
630102304,10,0,2,0,1,0,0,3,2,5,
630102305,10,2,1,2,3,0,0,4,3,1,
630102306,13,3,2,0,0,1,0,1,6,6,
630102307,12,2,4,2,1,0,0,0,2,2,
630102308,14,4,0,2,3,0,0,2,1,1,
630102309,10,5,1,3,3,0,2,1,1,
630102310,10,11,3,1,1,1,0,3,0,3,
630102311,8,5,1,0,2,0,0,2,3,3,
630102312,13,4,3,2,3,0,1,2,5,4,
630102313,6,5,2,2,2,0,0,0,2,1,
630102314,21,1,3,8,1,0,0,4,4,4,
630102315,17,5,2,3,4,0,1,1,3,1,
630102316,10,7,9,4,2,1,0,4,4,5,
630102317,18,3,1,1,3,2,0,3,0,4,
630102318,12,5,3,3,2,0,1,2,4,2,
630102319,10,4,2,0,3,0,0,3,1,2,
630102320,9,9,2,1,1,2,1,2,0,6,
630102321,13,4,7,3,2,0,0,5,1,4,
630102322,13,6,1,2,1,2,1,3,0,3,
630102323,13,3,0,1,4,1,0,2,4,3,
630102324,11,9,4,3,1,2,0,0,3,4,
630102325,13,6,2,2,1,2,1,2,4,4,
630102326,12,7,1,2,3,1,0,1,4,1,
630102327,14,2,1,5,0,1,0,3,3,4,
630102328,14,6,2,2,4,0,0,6,4,3,
630102329,12,4,2,6,1,1,0,6,3,
630102330,18,8,3,2,2,0,1,1,3,1,
630102331,15,6,2,1,4,0,4,1,1,4,
630102332,16,4,2,2,3,0,0,3,4,3,
630102333,13,8,5,1,0,1,0,1,2,
630102334,18,3,2,0,1,0,0,2,3,3,
630102335,9,8,11,2,1,1,0,1,2,6,
630102336,18,4,4,0,1,0,0,2,2,
630102337,14,7,1,2,0,0,0,1,4,4,
630102338,10,5,2,3,5,0,0,5,0,1,
