deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,128,53,0.4140625,113130885
630102301,120,53,0.44166666666666665,113475217
630102302,124,52,0.41935483870967744,109302502
630102303,136,58,0.4264705882352941,123580346
630102304,154,80,0.5194805194805194,168808150
630102305,134,59,0.44029850746268656,122887077
630102306,128,70,0.546875,146882634
630102307,147,71,0.48299319727891155,151719154
630102308,101,47,0.46534653465346537,98691977
630102309,130,58,0.4461538461538462,121576410
630102310,114,49,0.4298245614035088,102730777
630102311,125,64,0.512,130225448
630102312,107,49,0.45794392523364486,102113652
630102313,132,64,0.48484848484848486,132305937
630102314,125,58,0.464,120992517
630102315,130,64,0.49230769230769234,130739824
630102316,127,58,0.4566929133858268,118874382
630102317,115,46,0.4,96129828
630102318,119,55,0.46218487394957986,116975379
630102319,123,53,0.43089430894308944,109694475
630102320,131,64,0.48854961832061067,133685081
630102321,113,59,0.5221238938053098,120839053
630102322,135,69,0.5111111111111111,143349109
630102323,144,67,0.4652777777777778,142368324
630102324,137,79,0.5766423357664233,164399042
630102325,131,59,0.45038167938931295,119926598
630102326,131,59,0.45038167938931295,126078531
630102327,149,60,0.40268456375838924,128221218
630102328,144,65,0.4513888888888889,134871822
630102329,145,66,0.45517241379310347,139066045
630102330,127,66,0.5196850393700787,132885501
630102331,122,58,0.47540983606557374,123555049
630102332,143,60,0.4195804195804196,128679523
630102333,124,52,0.41935483870967744,108994204
630102334,122,60,0.4918032786885246,127485592
630102335,146,66,0.4520547945205479,138871184
630102336,125,61,0.488,126852224
630102337,133,58,0.43609022556390975,123617754
630102338,114,55,0.4824561403508772,114318426
630102339,120,57,0.475,113596809
630102340,163,77,0.4723926380368098,168657291
630102341,104,60,0.5769230769230769,121373984
630102342,133,58,0.43609022556390975,121965878
630102401,151,71,0.47019867549668876,149175593
630102402,149,71,0.47651006711409394,149336806
630102403,127,59,0.4645669291338583,123240552
630102404,122,57,0.4672131147540984,118014870
630102405,137,60,0.43795620437956206,128563395
630102406,119,55,0.46218487394957986,114029996
630102407,127,58,0.4566929133858268,122869628
630102501,128,56,0.4375,117966901
630102502,133,62,0.46616541353383456,130061560
630102503,132,57,0.4318181818181818,118094155
630102504,124,55,0.4435483870967742,109046280
630102505,138,66,0.4782608695652174,138294283
630102506,136,66,0.4852941176470588,134549072
630102507,159,72,0.4528301886792453,152667300
630102508,146,65,0.4452054794520548,139399909
630102509,152,73,0.48026315789473684,156934745
630102510,134,69,0.5149253731343284,140404473
630102511,121,62,0.512396694214876,125169281
630102512,126,56,0.4444444444444444,116949018
630102513,110,46,0.41818181818181815,95119754
630102601,122,57,0.4672131147540984,115430984
630102701,121,54,0.4462809917355372,113277851
630102702,136,71,0.5220588235294118,149363349
630102703,111,46,0.4144144144144144,94315282
630102704,136,61,0.4485294117647059,126618560
630102705,129,68,0.5271317829457365,139494773
630102706,145,60,0.41379310344827586,124640308
630102707,141,61,0.4326241134751773,130072340
630102708,125,63,0.504,131441885
630102709,107,49,0.45794392523364486,100710504
630102710,124,59,0.47580645161290325,126355687
630102901,128,56,0.4375,114504032
632523101,117,53,0.452991452991453,105109491
632523102,102,55,0.5392156862745098,111530229
632523103,132,56,0.42424242424242425,118284097
632523104,94,39,0.4148936170212766,76491733
632523105,111,54,0.4864864864864865,110007522
632523106,129,67,0.5193798449612403,137536186
632523107,112,47,0.41964285714285715,98680783
632523108,111,42,0.3783783783783784,86060102
632523109,114,56,0.49122807017543857,111854530
632523110,121,67,0.5537190082644629,135524572
632523111,119,59,0.4957983193277311,120205486
632523112,123,63,0.5121951219512195,128117332
632523113,136,77,0.5661764705882353,160389915
632523114,115,61,0.5304347826086957,123811216
632523115,129,63,0.4883720930232558,131090564
632523116,115,50,0.43478260869565216,104531607
632523117,132,67,0.5075757575757576,141704746
632523118,101,43,0.42574257425742573,88899901
632523119,112,50,0.44642857142857145,104857752
632523120,127,41,0.3228346456692913,88323194
632523121,123,59,0.4796747967479675,121059031
632523122,123,63,0.5121951219512195,125639741
632523123,102,40,0.39215686274509803,82414587
632523124,116,52,0.4482758620689655,106366447
632523125,106,52,0.49056603773584906,102588434
632523126,117,59,0.5042735042735043,112047311
632523127,115,58,0.5043478260869565,119028116
632523128,111,57,0.5135135135135135,116746452
632523129,107,61,0.5700934579439252,120140820
632523130,130,52,0.4,107188194
632523131,132,66,0.5,141264570
632523132,102,51,0.5,96338295
632523133,124,54,0.43548387096774194,111721699
632523134,100,44,0.44,91987774
632523135,117,52,0.4444444444444444,104601376
632523136,145,60,0.41379310344827586,127801735
632523137,123,51,0.4146341463414634,107555267
632523138,132,74,0.5606060606060606,154098040
632523139,107,41,0.38317757009345793,85972917
632523140,116,49,0.4224137931034483,104601052
632523141,139,68,0.4892086330935252,144969721
632523142,117,55,0.4700854700854701,114951887
632523143,135,69,0.5111111111111111,145202227
632523144,133,63,0.47368421052631576,135615745
632523145,111,50,0.45045045045045046,105422628
632523146,123,61,0.4959349593495935,125848039
632523147,148,65,0.4391891891891892,136631689
632523148,110,50,0.45454545454545453,107950622
632523149,118,53,0.4491525423728814,108116211
632523150,123,50,0.4065040650406504,105424770
632523151,121,59,0.48760330578512395,120386667
632523152,107,52,0.48598130841121495,109641841
632523153,118,59,0.5,124031579
632523154,113,47,0.415929203539823,99162667
632523155,130,67,0.5153846153846153,134467442
632523156,112,44,0.39285714285714285,87464080
632523157,110,55,0.5,114372846
632523158,116,52,0.4482758620689655,113827455
632523159,129,54,0.4186046511627907,116935215
632523160,148,71,0.4797297297297297,151439281
632523161,126,56,0.4444444444444444,114509752
632523162,129,56,0.43410852713178294,119352201
632523163,96,39,0.40625,82946768
632523164,114,53,0.4649122807017544,109304536
632523165,132,62,0.4696969696969697,133753908
632523166,118,61,0.5169491525423728,129780850
632523167,117,51,0.4358974358974359,109711071
632523168,101,42,0.4158415841584158,86352872
632523169,149,75,0.5033557046979866,159885333
632523170,119,58,0.48739495798319327,120618395
632523171,92,40,0.43478260869565216,82294116
632523172,113,54,0.4778761061946903,110452317
632523173,143,69,0.4825174825174825,144913930
632523174,134,58,0.43283582089552236,124629343
632523175,125,57,0.456,120559945
632523176,119,51,0.42857142857142855,100947719
632523177,134,67,0.5,142517412
632523178,123,68,0.5528455284552846,138889962
632523179,136,63,0.4632352941176471,131388551
632523180,108,42,0.3888888888888889,84793292
632523181,134,73,0.5447761194029851,151577073
632523182,126,56,0.4444444444444444,118674435
632523183,125,54,0.432,116582944
632523184,122,49,0.4016393442622951,104009954
632523185,106,53,0.5,112787212
632523186,119,57,0.4789915966386555,120559499
632523187,110,56,0.509090909090909,114752591
632523188,114,48,0.42105263157894735,101770147
632523189,105,53,0.5047619047619047,108873503
632523190,144,65,0.4513888888888889,139124893
632523191,119,50,0.42016806722689076,104037932
632523192,97,39,0.4020618556701031,80410524
632523193,112,47,0.41964285714285715,95770937
632523194,135,53,0.3925925925925926,106624593
632523195,116,58,0.5,116088312
632523196,127,58,0.4566929133858268,120614936
632523197,116,39,0.33620689655172414,84527896
632523198,136,62,0.45588235294117646,130613085
632523199,119,56,0.47058823529411764,115702909
632523200,112,49,0.4375,99335092
632523201,129,61,0.4728682170542636,125103159
632523202,97,55,0.5670103092783505,101321737
632523203,106,54,0.5094339622641509,107258299
632523204,126,54,0.42857142857142855,109900657
632523205,130,64,0.49230769230769234,129961668
632523206,114,59,0.5175438596491229,115563870
632523207,116,53,0.45689655172413796,110098558
632523208,141,65,0.46099290780141844,135373105
632523209,122,66,0.5409836065573771,136940274
632523210,121,52,0.4297520661157025,108795072
632523211,102,53,0.5196078431372549,105651913
632523212,128,62,0.484375,130899012
632523213,115,54,0.46956521739130436,112548353
632523214,105,51,0.4857142857142857,104684241
632523215,152,66,0.4342105263157895,141250268
632523216,113,55,0.48672566371681414,113163855
632523217,126,65,0.5158730158730159,137219277
632523218,121,59,0.48760330578512395,123735064
632523219,91,40,0.43956043956043955,83185650
632523220,131,65,0.4961832061068702,134930608
632523221,118,52,0.4406779661016949,108457688
632523222,123,51,0.4146341463414634,108024757
632523223,129,58,0.4496124031007752,119610576
632523224,114,51,0.4473684210526316,106141109
632523225,137,54,0.39416058394160586,115252182
632523226,131,62,0.4732824427480916,132603436
632523227,101,42,0.4158415841584158,86616668
632523228,112,49,0.4375,98961489
632523229,98,38,0.3877551020408163,79285571
632523230,127,63,0.49606299212598426,129040046
632523231,112,43,0.38392857142857145,92071418
632523232,90,32,0.35555555555555557,64166718
632523233,107,49,0.45794392523364486,96053055
632523234,128,69,0.5390625,143384167
632523235,121,58,0.4793388429752066,120658868
632523236,118,50,0.423728813559322,104879723
632523237,122,56,0.45901639344262296,115479614
632523238,92,41,0.44565217391304346,84471425
632523239,101,51,0.504950495049505,105569929
632523240,125,55,0.44,117515803
632523241,118,49,0.4152542372881356,100247676
632523242,104,48,0.46153846153846156,100774018
632523243,104,42,0.40384615384615385,88051136
632523244,138,65,0.47101449275362317,140597712
632523245,94,48,0.5106382978723404,94300232
632523246,114,48,0.42105263157894735,98035606
632523247,118,53,0.4491525423728814,111309193
632523248,150,68,0.4533333333333333,146279920
632523249,142,63,0.44366197183098594,131348344
